ts,symbol,combo,direction,filter_stage,reasons
2023-10-09,NVDA,B,LONG,confirm,macd_cross_bars_ago=5>3
2023-12-05,NVDA,B,SHORT,confirm,macd_cross_bars_ago=5>3
2024-02-22,NVDA,B,SHORT,confirm,"adx_slope=-1.45<=0, price_wrong_side_of_st"
2024-04-10,NVDA,B,SHORT,confirm,macd_cross_bars_ago=17>3
2024-06-25,NVDA,B,SHORT,confirm,adx_slope=-6.86<=0
2024-08-16,NVDA,B,LONG,confirm,adx_slope=-0.46<=0
2024-09-26,NVDA,B,LONG,confirm,macd_cross_bars_ago=9>3
2024-11-26,NVDA,B,SHORT,confirm,"adx_slope=-2.30<=0, macd_cross_bars_ago=7>3"
2025-01-06,NVDA,B,LONG,confirm,macd_cross_bars_ago=7>3
2025-04-10,NVDA,B,LONG,confirm,adx_slope=-4.53<=0
2025-09-03,NVDA,B,SHORT,confirm,macd_cross_bars_ago=30>3
2026-01-21,NVDA,B,SHORT,confirm,"adx_slope=-2.05<=0, macd_cross_bars_ago=5>3"
2026-02-10,NVDA,B,LONG,confirm,adx_slope=-1.00<=0
2023-09-08,AAPL,B,SHORT,confirm,"adx_slope=-1.20<=0, macd_cross_bars_ago=9>3"
2023-10-10,AAPL,B,LONG,confirm,macd_cross_bars_ago=4>3
2023-10-26,AAPL,B,SHORT,confirm,macd_cross_bars_ago=4>3
2023-11-03,AAPL,B,LONG,confirm,adx_slope=-4.74<=0
2024-01-03,AAPL,B,SHORT,confirm,macd_cross_bars_ago=9>3
2024-03-21,AAPL,B,LONG,confirm,adx_slope=-3.12<=0
2024-04-11,AAPL,B,SHORT,confirm,"price_wrong_side_of_st, macd_cross_bars_ago=17>3"
2024-04-12,AAPL,B,LONG,confirm,macd_cross_bars_ago=18>3
2024-04-18,AAPL,B,SHORT,confirm,"adx_slope=-1.04<=0, macd_cross_bars_ago=22>3"
2024-04-30,AAPL,B,LONG,confirm,adx_slope=-0.61<=0
2024-07-25,AAPL,B,SHORT,confirm,macd_cross_bars_ago=5>3
2024-08-16,AAPL,B,LONG,confirm,adx_slope=-0.58<=0
2024-09-17,AAPL,B,SHORT,confirm,macd_cross_bars_ago=9>3
2024-11-04,AAPL,B,SHORT,confirm,macd_cross_bars_ago=6>3
2024-11-26,AAPL,B,LONG,confirm,macd_cross_bars_ago=5>3
2025-01-03,AAPL,B,SHORT,confirm,adx_slope=-0.46<=0
2025-01-29,AAPL,B,LONG,confirm,adx_slope=-2.49<=0
2025-03-12,AAPL,B,SHORT,confirm,macd_cross_bars_ago=6>3
2025-04-25,AAPL,B,LONG,confirm,"adx_slope=-0.52<=0, macd_cross_bars_ago=7>3"
2025-07-02,AAPL,B,LONG,confirm,macd_cross_bars_ago=7>3
2025-08-04,AAPL,B,SHORT,confirm,macd_cross_bars_ago=4>3
2025-10-21,AAPL,B,LONG,confirm,macd_cross_bars_ago=10>3
2025-12-18,AAPL,B,SHORT,confirm,macd_cross_bars_ago=8>3
2026-02-03,AAPL,B,LONG,confirm,macd_cross_bars_ago=4>3
2026-02-13,AAPL,B,SHORT,confirm,adx_slope=-0.67<=0
2023-09-06,MSFT,B,LONG,confirm,macd_cross_bars_ago=9>3
2024-04-19,MSFT,B,SHORT,confirm,macd_cross_bars_ago=15>3
2024-05-15,MSFT,B,LONG,confirm,macd_cross_bars_ago=7>3
