trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,B,LONG,2023-08-21,46.97,1.772217603125249,2023-08-23,45.90294,18.8088,43.2446,50.0,4999.0,2023-09-15,43.8581,ST_FLIP,17,-38.4618,1.0,-39.4618,-0.007894,False,all
2,NVDA,B,SHORT,2023-10-18,42.19,1.5943933747158296,2023-10-20,41.83907,20.7374,44.2307,49.6,4958.54,2023-11-03,44.2528,SL,11,-50.054,1.0,-51.054,-0.010296,False,all
3,NVDA,B,LONG,2023-12-15,48.92,1.3501984953334498,2023-12-19,49.44471,24.2309,47.4194,49.07,4906.48,2024-01-03,47.3957,SL,10,-49.6494,1.0,-50.6494,-0.010323,False,all
4,NVDA,B,LONG,2024-02-22,78.53,3.0201127471991827,2024-02-26,79.74985499999998,10.7189,75.2197,48.56,4854.83,2024-03-22,94.2529,TIME,20,155.4559,1.0,154.4559,0.031815,True,all
5,NVDA,B,LONG,2024-05-03,88.77,3.921047208544345,2024-05-07,91.095525,8.5169,85.214,50.09,5008.29,2024-06-04,116.3718,TIME,20,215.2761,1.0,214.2761,0.042784,True,all
6,NVDA,B,SHORT,2024-09-03,108.01,6.7838502933414695,2024-09-05,104.9425025,5.1324,115.1183,52.23,5221.57,2024-09-11,115.1758,SL,5,-52.5211,1.0,-53.5211,-0.01025,False,all
7,NVDA,B,SHORT,2025-01-10,135.93,5.88936411846627,2025-01-14,135.99197,5.8501,144.826,51.68,5167.05,2025-01-22,144.8984,SL,6,-52.1041,1.0,-53.1041,-0.010277,False,all
8,NVDA,B,SHORT,2025-01-27,118.51,7.166370694348507,2025-01-29,126.446745,4.7574,137.1963,51.14,5112.94,2025-02-14,137.2649,SL,13,-51.4658,1.0,-52.4658,-0.010261,False,all
9,NVDA,B,SHORT,2025-02-27,120.245,6.706656491121515,2025-03-03,123.44824500000001,5.0303,133.5082,50.6,5059.48,2025-03-31,108.5793,TIME,20,74.7955,1.0,73.7955,0.014586,True,all
10,NVDA,B,LONG,2025-09-22,183.6,5.110716818876704,2025-09-24,179.8448775,6.6961,172.1788,51.33,5132.27,2025-10-14,179.94,ST_FLIP,15,0.6368,1.0,-0.3632,-7.1e-05,False,all
11,NVDA,B,LONG,2025-10-28,201.05,5.786812320926765,2025-10-30,205.3076025,5.9122,196.6274,51.32,5130.91,2025-11-05,196.5291,SL,5,-51.9003,1.0,-52.9003,-0.01031,False,all
12,NVDA,B,SHORT,2025-11-06,188.14,6.929888129090961,2025-11-10,195.01744250000002,4.8851,205.4123,50.78,5077.01,2025-12-08,185.6678,TIME,20,45.6743,1.0,44.6743,0.008799,True,all
13,NVDA,B,LONG,2025-12-23,189.2,5.979821369494627,2025-12-26,190.01495999999997,5.71,181.0452,51.22,5120.68,2026-01-14,180.9547,SL,13,-51.7337,1.0,-52.7337,-0.010298,False,all
14,NVDA,B,SHORT,2026-02-27,177.205,6.398515409718504,2026-03-03,178.39076,5.2803,187.9885,50.68,5066.95,2026-03-16,188.0825,SL,10,-51.1758,1.0,-52.1758,-0.010297,False,all
1,AAPL,B,LONG,2023-08-29,184.13,3.300466387497012,2023-08-31,188.063985,6.6467,183.1133,50.0,4999.0,2023-09-06,183.0217,SL,4,-33.5142,1.0,-34.5142,-0.006904,False,all
2,AAPL,B,LONG,2024-01-19,191.55,3.300680756300229,2024-01-23,195.227565,6.3573,190.2765,49.64,4963.49,2024-01-29,190.1814,SL,5,-32.08,1.0,-33.08,-0.006665,False,all
3,AAPL,B,SHORT,2024-01-31,184.41,3.208454063053176,2024-02-02,179.7150975,6.8586,184.5278,49.3,4929.41,2024-02-02,184.62,SL,1,-33.6413,1.0,-34.6413,-0.007027,False,all
4,AAPL,B,LONG,2024-09-19,228.905,5.09865050702966,2024-09-23,227.29359,5.3837,219.6456,48.95,4893.76,2024-10-18,234.8325,TIME,20,40.5877,1.0,39.5877,0.008089,True,all
5,AAPL,B,SHORT,2025-05-23,195.3,6.230636470356157,2025-05-28,200.59965,5.2786,209.9456,49.33,4932.35,2025-06-25,201.6508,TIME,20,-5.5485,1.0,-6.5485,-0.001328,False,all
6,AAPL,B,LONG,2025-08-07,220.17,4.910342304818596,2025-08-11,228.03395999999998,5.4003,220.6684,49.26,4924.8,2025-09-08,237.7811,TIME,20,52.6372,1.0,51.6372,0.010485,True,all
7,AAPL,B,SHORT,2025-09-10,226.81,4.7144760887852115,2025-09-12,229.15536500000002,5.4291,236.2271,49.76,4975.44,2025-09-15,236.3452,SL,2,-39.0344,1.0,-40.0344,-0.008046,False,all
8,AAPL,B,LONG,2025-09-19,245.32,4.784335089109954,2025-09-23,255.99793499999998,4.8198,248.8214,49.35,4934.41,2025-10-10,248.697,SL,14,-35.1887,1.0,-36.1887,-0.007334,False,all
1,MSFT,B,SHORT,2023-09-20,320.77,6.001786856188286,2023-09-22,321.169335,3.892,330.172,50.0,4999.0,2023-10-06,327.4837,ST_FLIP,11,-24.5755,1.0,-25.5755,-0.005116,False,all
2,MSFT,B,SHORT,2024-09-06,401.93,7.903004237286307,2024-09-10,408.23578000000003,3.0457,420.0903,49.73,4972.42,2024-09-11,420.3003,SL,2,-36.7448,1.0,-37.7448,-0.007591,False,all
3,MSFT,B,LONG,2024-09-12,427.0,8.377658632370217,2024-09-16,430.80529499999994,2.8636,418.2388,49.35,4933.68,2024-10-02,418.0297,SL,13,-36.5847,1.0,-37.5847,-0.007618,False,all
4,MSFT,B,LONG,2025-01-22,446.18,8.731892991649758,2025-01-24,445.72274999999996,2.7462,432.6249,48.96,4895.09,2025-01-27,432.4086,SL,2,-36.5627,1.0,-37.5627,-0.007674,False,all
5,MSFT,B,SHORT,2025-01-30,414.82,10.81722167529739,2025-02-03,411.39420000000007,2.9519,427.62,48.58,4856.53,2025-03-03,388.6842,TIME,20,67.0369,1.0,66.0369,0.013598,True,all
6,MSFT,B,SHORT,2026-01-29,433.12,13.32371739741326,2026-02-02,430.04487,2.4631,450.0304,49.23,4921.57,2026-03-02,398.6892,TIME,20,77.2308,1.0,76.2308,0.015489,True,all
1,GOOGL,B,SHORT,2023-09-21,130.445,2.7177484738509583,2023-09-25,129.785075,9.6313,133.8617,50.0,4999.0,2023-09-29,133.9286,SL,5,-39.9078,1.0,-40.9078,-0.008183,False,all
2,GOOGL,B,LONG,2023-10-06,137.61,2.8875622966419017,2023-10-10,138.56924999999998,8.9452,134.2379,49.58,4957.09,2023-10-23,134.1708,SL,10,-39.3449,1.0,-40.3449,-0.008139,False,all
3,GOOGL,B,SHORT,2023-12-01,131.82,2.7065352848973583,2023-12-05,128.93550000000002,9.5333,132.9953,49.17,4915.75,2023-12-07,133.0618,SL,3,-39.3375,1.0,-40.3375,-0.008206,False,all
4,GOOGL,B,LONG,2024-03-13,139.83,3.0974880849536066,2024-03-15,142.361145,8.5617,137.7149,48.75,4874.41,2024-04-12,157.6911,TIME,20,131.2505,1.0,130.2505,0.026721,True,all
