ts,symbol,combo,event,direction,close,ema21,bars_in_window,close_above_ema21,vol_gate,adx_gate,vol_ratio,adx14,ema50
2023-09-07,NVDA,A,trigger_armed,LONG,46.24,46.52843990902962,,,,,,,
2023-09-08,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.7662456297588728,19.01375222989636,
2023-09-11,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,0.7194111753944561,18.03958720533328,
2023-09-12,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,False,0.45988307797758593,17.13500539681042,
2023-09-13,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,False,0.5843386081275497,16.123886221495013,
2023-09-14,NVDA,A,window_bar_no_confirm,LONG,,,5.0,False,False,False,0.5445672228810046,15.165741276579665,
2023-09-15,NVDA,A,ema50_break_in_window,LONG,43.88,,6.0,,,,,,44.54022535436857
2023-11-30,NVDA,A,trigger_armed,LONG,46.77,47.33594299228891,,,,,,,
2023-12-01,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.8995548684951531,19.611158519068628,
2023-12-04,NVDA,A,ema50_break_in_window,LONG,45.5,,2.0,,,,,,45.96188127709393
2024-01-02,NVDA,A,trigger_armed,LONG,48.2,48.44234298954728,,,,,,,
2024-01-03,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,0.989039734706009,14.97176373644047,
2024-01-04,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,0.7905084288382872,14.255838862060248,
2024-01-05,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,False,False,1.0857334582403426,13.899848544066824,
2024-01-08,NVDA,A,window_bar_no_confirm,LONG,,,4.0,True,True,False,1.949263817432094,15.347031463761954,
2024-01-09,NVDA,A,window_bar_no_confirm,LONG,,,5.0,True,True,False,1.5577182277736985,17.543835106625018,
2024-01-10,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2024-04-04,NVDA,A,trigger_armed,LONG,85.9,87.96506383550043,,,,,,,
2024-04-05,NVDA,A,confirmed,LONG,87.98,87.96642166863676,1.0,,,,0.9122975890599923,41.4044927316904,
2024-04-15,NVDA,A,trigger_armed,LONG,85.99,87.73266088982356,,,,,,,
2024-04-16,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,0.7559327044532237,27.44658743388403,
2024-04-17,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,True,True,1.8255547558579928,26.01391797318044,
2024-04-18,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,1.0975637952217552,25.17275118255682,
2024-04-19,NVDA,A,ema50_break_in_window,LONG,76.2,,4.0,,,,,,81.92882128596155
2024-06-24,NVDA,A,trigger_armed,LONG,118.08,119.41564450473697,,,,,,,
2024-06-25,NVDA,A,confirmed,LONG,126.1,120.02331318612453,1.0,,,,0.8246797707475452,48.43589101496941,
2024-07-17,NVDA,A,trigger_armed,LONG,117.97,125.04330767796066,,,,,,,
2024-07-18,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,0.7300243740746281,32.814377607666884,
2024-07-19,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,0.5163316003484718,31.11947457284951,
2024-07-22,NVDA,A,window_bar_no_confirm,LONG,,,3.0,False,False,True,0.8506251043843924,28.94188160120189,
2024-07-23,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,True,0.5906641498821245,26.97512527412933,
2024-07-24,NVDA,A,ema50_break_in_window,LONG,114.37,,5.0,,,,,,116.83886339203599
2024-10-31,NVDA,A,trigger_armed,LONG,132.81,135.11232037586547,,,,,,,
2024-11-01,NVDA,A,confirmed,LONG,135.4,135.1384730689686,1.0,,,,0.8893760672653634,19.37420744209044,
2024-12-09,NVDA,A,trigger_armed,LONG,138.81,141.105257663541,,,,,,,
2024-12-10,NVDA,A,ema50_break_in_window,LONG,134.99,,1.0,,,,,,137.09232974457777
2025-03-24,NVDA,A,trigger_armed,SHORT,121.24,120.34254921789585,,,,,,,
2025-03-25,NVDA,A,window_bar_no_confirm,SHORT,,,1.0,False,False,False,0.6227550916343488,20.576745632870725,
2025-03-26,NVDA,A,confirmed,SHORT,113.715,119.76628034536847,2.0,,,,1.350726082167383,20.724683720080513,
2025-04-25,NVDA,A,trigger_armed,SHORT,110.92,107.12584846130832,,,,,,,
2025-04-28,NVDA,A,window_bar_no_confirm,SHORT,,,1.0,False,False,False,0.5517600074438295,22.814196406472686,
2025-04-29,NVDA,A,window_bar_no_confirm,SHORT,,,2.0,False,False,False,0.38680168739325044,21.429027914354105,
2025-04-30,NVDA,A,window_bar_no_confirm,SHORT,,,3.0,False,False,False,0.5529577284354283,20.691074840392194,
2025-05-01,NVDA,A,window_bar_no_confirm,SHORT,,,4.0,False,False,False,0.8568404898545793,19.48225897599689,
2025-05-02,NVDA,A,ema50_break_in_window,SHORT,114.44,,5.0,,,,,,113.17589134322732
2025-08-19,NVDA,A,trigger_armed,LONG,175.66,176.90628760081387,,,,,,,
2025-08-20,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,True,1.227796260903767,38.833800322708086,
2025-08-21,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,True,1.0259763136561615,36.75467462164103,
2025-08-22,NVDA,A,confirmed,LONG,177.98,176.73062930188868,3.0,,,,1.0721458198211369,35.384219288364974,
2025-09-16,NVDA,A,trigger_armed,LONG,174.89,175.2375962042902,,,,,,,
2025-09-17,NVDA,A,ema50_break_in_window,LONG,170.21,,1.0,,,,,,170.6323054032872
2025-10-14,NVDA,A,trigger_armed,LONG,180.03,183.0854150361374,,,,,,,
2025-10-15,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,True,False,1.7615381686787712,16.326353741231244,
2025-10-16,NVDA,A,window_bar_no_confirm,LONG,,,2.0,False,False,False,1.4158889595474742,16.330220291225807,
2025-10-17,NVDA,A,window_bar_no_confirm,LONG,,,3.0,True,False,False,1.4915646438234853,16.14685806479157,
2025-10-20,NVDA,A,window_bar_no_confirm,LONG,,,4.0,False,False,False,1.032282167088499,15.719374033733759,
2025-10-21,NVDA,A,window_bar_no_confirm,LONG,,,5.0,False,False,False,0.9223675158183697,15.688108354219992,
2025-10-22,NVDA,A,window_expired,LONG,,,6.0,,,,,,
2025-11-06,NVDA,A,trigger_armed,LONG,188.14,191.93049883780785,,,,,,,
2025-11-07,NVDA,A,window_bar_no_confirm,LONG,,,1.0,False,False,False,1.4004761286036191,19.405585603960223,
2025-11-10,NVDA,A,confirmed,LONG,199.045,192.2693792047999,2.0,,,,0.8741977240354227,18.22941881433983,
2025-12-19,NVDA,A,trigger_armed,SHORT,181.0,180.38707937955144,,,,,,,
