ts,symbol,combo,event,direction,close,ema21,adx14,vol_ratio
2023-10-11,NVDA,A,hammer_entry,LONG,46.8,44.60255603440099,16.527614866499984,0.6533195233038096
2023-11-10,NVDA,A,hammer_entry,LONG,48.34,44.47306987008214,19.73067313752357,0.7635006026856855
2024-01-08,NVDA,A,hammer_entry,LONG,52.25,48.75056894306896,15.347031463761954,1.949263817432094
2024-01-19,NVDA,A,hammer_entry,LONG,59.49,52.69285656607293,33.73358014224148,1.3864494056196721
2024-02-05,NVDA,A,hammer_entry,LONG,69.31,59.60942957016038,51.56598519777014,1.386914791630062
2024-02-07,NVDA,A,hammer_entry,LONG,70.1,61.27473518195073,52.98313634262522,0.9265658515603729
2024-02-22,NVDA,A,hammer_entry,LONG,78.53,68.01915141472517,49.94103493781335,1.600168696263704
2024-03-04,NVDA,A,hammer_entry,LONG,85.25,74.10290810283604,49.202258901172186,1.1741598608410597
2024-05-06,NVDA,A,hammer_entry,LONG,92.14,86.04511707729588,17.812051545213215,0.5513184527990534
2024-05-24,NVDA,A,hammer_entry,LONG,106.47,93.26148390100789,18.39561971984803,1.2131333311767372
2024-06-13,NVDA,A,hammer_entry,LONG,129.37,112.52630796445635,42.99868070636633,0.45642585416868386
2024-08-19,NVDA,A,hammer_entry,LONG,130.0,115.7363413255008,26.542162970647368,0.7267965545605384
2024-10-10,NVDA,A,hammer_entry,LONG,134.81,123.29885309807025,17.615057505175216,0.9568563977259842
2024-10-21,NVDA,A,hammer_entry,LONG,143.68,130.1914052717402,21.81300420933962,0.9724123342593235
2024-11-06,NVDA,A,hammer_entry,LONG,145.5,136.55242153942044,17.683256501763857,1.0994022467423876
2025-05-07,NVDA,A,hammer_entry,LONG,117.015,110.08169034641409,15.470319928378126,0.9357917474947028
2025-05-29,NVDA,A,hammer_entry,LONG,139.18,127.47518023720798,29.718216763777782,1.6133173223182526
2025-06-12,NVDA,A,hammer_entry,LONG,145.0,136.28496792524825,35.8581833752259,0.6776556266236292
2025-07-03,NVDA,A,hammer_entry,LONG,159.21,148.31225067192324,44.602046523913685,0.7663668053267779
2025-07-17,NVDA,A,hammer_entry,LONG,173.085,158.85519132438986,50.53353542474138,0.6229065185673985
2025-07-28,NVDA,A,hammer_entry,LONG,176.695,165.5402247016203,46.913147414052325,1.0974030875422067
2025-09-30,NVDA,A,hammer_entry,LONG,186.54,177.81838848007763,17.11277005653082,1.3268160811917984
2025-10-28,NVDA,A,hammer_entry,LONG,201.05,185.10245151776638,16.285888322860465,1.9034679839084367
2023-09-01,AAPL,A,hammer_entry,LONG,189.48,182.87623064764895,30.807518136948048,0.7391593658263372
2023-10-11,AAPL,A,hammer_entry,LONG,179.77,176.38473445293192,20.587491593092604,0.7408157815917085
2023-11-08,AAPL,A,hammer_entry,LONG,182.89,175.97166640477855,19.426541956588068,0.7068308669694707
2023-12-08,AAPL,A,hammer_entry,LONG,195.69,189.1466058890183,34.00178424128434,0.9428315439970172
2024-05-03,AAPL,A,hammer_entry,LONG,183.36,171.52114610631077,15.080132791094012,3.3646733163896547
2024-06-05,AAPL,A,hammer_entry,LONG,195.87,188.53290149111655,34.852341858349675,1.1800461428431999
2024-06-11,AAPL,A,hammer_entry,LONG,207.15,191.63719451616458,35.972558657188664,3.1786709527506685
2024-07-03,AAPL,A,hammer_entry,LONG,221.53,208.85650009642632,46.791527146471246,0.46194861936506804
2024-12-02,AAPL,A,hammer_entry,LONG,239.635,230.90824108977435,15.562481408410289,0.9176320751681784
2024-12-17,AAPL,A,hammer_entry,LONG,253.5,241.7642199533874,38.48345410559765,1.812064947715967
2024-12-20,AAPL,A,hammer_entry,LONG,254.6,244.05418478842026,40.93375037642396,1.3844862538776708
2025-07-01,AAPL,A,hammer_entry,LONG,207.815,201.742605552615,15.785341209137068,1.686097017328224
2025-08-07,AAPL,A,hammer_entry,LONG,220.17,209.81497029956466,21.103724872916356,2.125954492355242
2025-09-04,AAPL,A,hammer_entry,LONG,239.71,228.15837852332038,29.56351453868842,1.0782897332443766
2025-09-19,AAPL,A,hammer_entry,LONG,245.32,233.95383619819424,24.092265652173907,1.238278792585404
2025-10-20,AAPL,A,hammer_entry,LONG,262.245,250.6459964806048,25.818584328136033,2.091001864736485
2025-10-27,AAPL,A,hammer_entry,LONG,268.75,255.2465318319071,25.38281323741926,1.3369070282239996
2025-12-01,AAPL,A,hammer_entry,LONG,283.17,271.8314420951415,31.71041876790335,0.9984342501134652
2026-02-04,AAPL,A,hammer_entry,LONG,276.41,262.1545308611318,26.421797210467435,1.4938702523768606
