trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,A,LONG,2023-08-28,46.83,2.013195507298267,2023-08-29,46.72335,62.0903,44.7102,125.0,12499.0,2023-09-11,44.6878,SL,9,-126.388,1.0,-127.388,-0.010192,False,all
2,NVDA,A,LONG,2023-10-06,45.76,1.4455978538468306,2023-10-09,44.86242,68.942,43.4168,123.72,12370.61,2023-10-17,43.3951,SL,7,-101.159,1.0,-102.159,-0.008258,False,all
3,NVDA,A,LONG,2024-02-21,67.47,2.3993521892914274,2024-02-22,75.13754999999999,40.82,72.7382,122.68,12267.45,2024-03-04,82.2944,TP,8,292.1441,1.0,291.1441,0.023733,True,all
4,NVDA,A,LONG,2024-04-02,89.46,3.553401961629512,2024-04-03,88.494225,35.3425,84.9408,125.59,12557.6,2024-04-09,84.8984,SL,5,-127.087,1.0,-128.087,-0.0102,False,all
5,NVDA,A,LONG,2024-04-11,90.59,3.477090134174297,2024-04-12,89.74485,34.6246,86.2678,124.3,12428.51,2024-04-15,86.2246,SL,2,-121.8863,1.0,-122.8863,-0.009887,False,all
6,NVDA,A,LONG,2024-06-25,126.1,5.69772390067363,2024-06-26,126.24309,21.5974,120.5454,123.06,12304.62,2024-07-01,120.4851,SL,4,-124.358,1.0,-125.358,-0.010188,False,all
7,NVDA,A,LONG,2024-07-02,122.645,5.347524395067558,2024-07-03,121.72082999999999,22.7755,116.3733,121.79,12178.27,2024-07-24,116.3151,SL,15,-123.1179,1.0,-124.1179,-0.010192,False,all
8,NVDA,A,LONG,2024-09-24,120.83,5.462939010649258,2024-09-25,122.08100999999999,22.0653,116.6181,120.54,12053.15,2024-10-01,116.5598,SL,5,-121.8281,1.0,-122.8281,-0.010191,False,all
9,NVDA,A,LONG,2024-11-01,135.4,4.639874575559078,2024-11-04,137.29861499999998,21.7233,132.6587,119.3,11929.32,2024-11-27,132.5924,SL,18,-102.2343,1.0,-103.2343,-0.008654,False,all
10,NVDA,A,LONG,2025-08-22,177.98,4.570767786925152,2025-08-25,178.44918,16.5679,173.8784,118.26,11825.09,2025-08-29,173.7915,SL,5,-77.1682,1.0,-78.1682,-0.00661,False,all
11,NVDA,A,LONG,2025-09-15,177.76,4.712130493695125,2025-09-16,177.078495,16.5843,172.3664,117.47,11745.92,2025-09-17,172.2802,SL,2,-79.5768,1.0,-80.5768,-0.00686,False,all
12,NVDA,A,LONG,2025-09-22,183.6,5.110716818876704,2025-09-23,182.05098,16.0193,176.9403,116.65,11664.34,2025-09-24,176.8518,SL,2,-83.2875,1.0,-84.2875,-0.007226,False,all
13,NVDA,A,LONG,2025-09-25,177.68,5.27184579120704,2025-09-26,178.24908,16.2414,172.9772,115.8,11579.05,2025-10-23,182.0289,TIME,20,61.3902,1.0,60.3902,0.005215,True,all
14,NVDA,A,LONG,2025-11-11,193.265,7.456215094611094,2025-11-12,195.887895,14.8547,188.4317,116.39,11638.44,2025-11-13,188.3375,SL,2,-112.1596,1.0,-113.1596,-0.009723,False,all
1,AAPL,A,LONG,2023-12-22,193.59,2.7342138232336275,2023-12-26,193.706805,16.1326,190.9726,125.0,12499.0,2024-01-02,190.8771,SL,5,-45.6505,1.0,-46.6505,-0.003732,False,all
2,AAPL,A,LONG,2024-01-29,191.765,3.092112404487707,2024-01-30,190.96543499999999,16.3018,187.8733,124.52,12451.35,2024-01-30,187.7794,SL,1,-51.9385,1.0,-52.9385,-0.004252,False,all
3,AAPL,A,LONG,2024-10-23,230.675,4.4293294031886585,2024-10-24,230.084985,13.4716,225.6557,123.98,12397.41,2024-10-31,225.5428,SL,6,-61.1899,1.0,-62.1899,-0.005016,False,all
4,AAPL,A,LONG,2025-02-26,240.38,5.3641553180648165,2025-02-27,239.769825,12.8615,234.4057,123.35,12334.22,2025-02-27,237.3713,EMA50_STRUCT,1,-30.8493,1.0,-31.8493,-0.002582,False,all
5,AAPL,A,LONG,2025-02-28,241.37,5.5053175956783384,2025-03-03,241.9209,12.7132,236.4156,123.02,12301.37,2025-03-03,236.2974,SL,1,-71.4931,1.0,-72.4931,-0.005893,False,all
6,AAPL,A,LONG,2025-09-12,234.04,4.70712479084031,2025-09-15,236.85837,12.9074,232.1512,122.29,12227.88,2025-09-22,250.8543,TP,6,180.6501,1.0,179.6501,0.014692,True,all
7,AAPL,A,LONG,2025-10-15,249.405,4.720856098866345,2025-10-16,248.394135,12.4877,243.6733,124.08,12406.53,2025-10-21,262.4254,TP,4,175.2191,1.0,174.2191,0.014043,True,all
8,AAPL,A,LONG,2025-11-17,267.5,5.288980325704496,2025-11-18,270.0499575,11.6467,264.761,125.81,12579.75,2025-12-02,285.7739,TP,10,183.1323,1.0,182.1323,0.014478,True,all
9,AAPL,A,LONG,2025-12-11,278.08,4.941331854494629,2025-12-12,278.05896,11.4741,273.1176,127.62,12760.88,2025-12-15,272.9811,SL,2,-58.2641,1.0,-59.2641,-0.004644,False,all
