trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,MSFT,C,LONG,2023-09-22,317.02,6.0927141770194915,2023-09-25,317.088465,6.5702,310.9958,83.33,8332.33,2023-09-26,310.8403,SL,2,-41.052,1.0,-42.052,-0.005047,False,all
2,MSFT,C,LONG,2024-04-18,404.4,7.114563034782434,2024-04-19,404.212005,5.1274,397.0974,82.9,8289.28,2024-04-22,396.8989,SL,2,-37.4975,1.0,-38.4975,-0.004644,False,all
3,MSFT,C,LONG,2024-07-25,418.53,8.382133108807615,2024-07-26,418.399095,4.93,410.017,82.51,8249.78,2024-08-02,409.812,SL,6,-42.3344,1.0,-43.3344,-0.005253,False,all
4,MSFT,C,LONG,2024-08-05,395.39,10.418165980036845,2024-08-06,400.01991,5.1288,389.6017,82.06,8205.45,2024-08-15,420.6596,BB_MID,8,105.8562,1.0,104.8562,0.012779,True,all
5,MSFT,C,LONG,2024-10-07,409.47,6.954742986080112,2024-10-08,411.04542,5.0544,404.0907,83.1,8309.31,2024-10-21,418.6905,TIME,10,38.6413,1.0,37.6413,0.00453,True,all
6,MSFT,C,LONG,2024-12-31,421.7,7.816427319523801,2025-01-02,425.6577225,4.9024,417.8413,83.47,8345.95,2025-01-02,417.6324,SL,1,-39.3433,1.0,-40.3433,-0.004834,False,all
7,MSFT,C,LONG,2025-02-27,392.52,8.302201615230551,2025-02-28,392.95637999999997,5.284,384.6542,83.06,8304.6,2025-03-04,384.4619,SL,3,-44.8855,1.0,-45.8855,-0.005525,False,all
8,MSFT,C,LONG,2025-03-11,380.31,9.869575575637086,2025-03-12,383.14147499999996,5.3888,373.2719,82.59,8257.72,2025-03-24,392.4037,BB_MID,9,49.9124,1.0,48.9124,0.005923,True,all
9,MSFT,C,LONG,2025-04-04,359.81,9.351809580118125,2025-04-07,350.53517999999997,5.9242,341.1834,83.07,8305.63,2025-04-09,389.6851,BB_MID,3,231.9336,1.0,230.9336,0.027804,True,all
10,MSFT,C,LONG,2026-01-14,459.625,8.244608217131939,2026-01-15,464.161965,4.5978,455.9174,85.37,8535.56,2026-01-20,455.6894,SL,3,-38.9555,1.0,-39.9555,-0.004681,False,all
11,MSFT,C,LONG,2026-01-21,444.0,8.813497378423186,2026-01-22,448.15896749999996,4.7392,439.3455,84.96,8494.61,2026-01-27,480.3597,BB_MID,4,152.6048,1.0,151.6048,0.017847,True,all
12,MSFT,C,LONG,2026-01-29,433.12,13.32371739741326,2026-01-30,439.7447625,4.9155,426.421,86.46,8645.21,2026-02-02,426.2078,SL,2,-66.5404,1.0,-67.5404,-0.007812,False,all
13,MSFT,C,LONG,2026-02-03,411.25,13.073389986194217,2026-02-04,410.8903425,5.219,397.817,85.78,8576.67,2026-02-05,397.618,SL,2,-69.2675,1.0,-70.2675,-0.008193,False,all
1,GOOGL,C,LONG,2023-10-25,125.63,3.676793348928492,2023-10-26,123.03148499999999,16.9333,119.3547,83.33,8332.33,2023-11-08,131.7441,TIME,10,147.5335,1.0,146.5335,0.017586,True,all
2,GOOGL,C,LONG,2024-07-24,172.67,4.0267661524688085,2024-07-25,172.896405,12.26,168.8696,84.79,8477.87,2024-07-25,168.7852,SL,1,-50.4035,1.0,-51.4035,-0.006063,False,all
3,GOOGL,C,LONG,2024-07-26,167.02,4.162058570240962,2024-07-29,168.90440999999998,12.4722,164.7424,84.26,8425.46,2024-08-02,164.66,SL,5,-52.9375,1.0,-53.9375,-0.006402,False,all
4,GOOGL,C,LONG,2024-09-04,156.42,3.8816363605419775,2024-09-05,156.37815,13.3835,152.4965,83.72,8370.53,2024-09-06,152.4203,SL,2,-52.9702,1.0,-53.9702,-0.006448,False,all
5,GOOGL,C,LONG,2024-09-09,148.72,4.2354464592240255,2024-09-10,150.63528,13.8025,146.3998,83.17,8315.56,2024-09-17,159.2803,BB_MID,6,119.3229,1.0,118.3229,0.014229,True,all
6,GOOGL,C,LONG,2025-02-07,185.32,5.851422086472288,2025-02-10,187.41366,11.2504,181.5622,84.34,8432.88,2025-02-21,181.4715,SL,9,-66.8519,1.0,-67.8519,-0.008046,False,all
7,GOOGL,C,LONG,2025-03-28,154.37,4.995008118352964,2025-03-31,153.3616425,13.6361,148.3666,83.65,8364.03,2025-04-04,148.2925,SL,5,-69.1241,1.0,-70.1241,-0.008384,False,all
8,GOOGL,C,LONG,2025-10-10,236.57,5.482193234446011,2025-10-13,240.01995,8.6388,234.5378,82.94,8292.9,2025-10-15,250.9844,BB_MID,3,94.7197,1.0,93.7197,0.011301,True,all
9,GOOGL,C,LONG,2026-02-10,318.59,10.135720917548245,2026-02-11,319.3245825,6.5659,309.1889,83.87,8385.62,2026-02-12,309.0343,SL,2,-67.5653,1.0,-68.5653,-0.008177,False,all
