ts,symbol,combo,event,direction,st_line,regime,bars_since_flip,rsi_ok,adx_slope_ok,rsi,adx_slope,low
2024-04-18 11:15:00-04:00,AAPL,B,flip_armed,SHORT,216.6283327724137,corrective,,,,,,
2024-04-18 11:30:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,1.0,False,False,58.174054933569984,-7.664588134497606,
2024-04-18 11:45:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,2.0,False,False,52.0034517768932,-6.5696469724265185,
2024-04-18 12:00:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,3.0,False,False,50.037169582801646,-3.5022660207834875,
2024-04-18 12:15:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,4.0,False,False,51.027061236748054,-3.0019423035287005,
2024-04-18 12:30:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,5.0,False,False,50.546173504532256,-2.7291437208145624,
2024-04-18 12:45:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,6.0,False,False,50.15492915875875,-3.385162807432259,
2024-04-18 13:00:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,7.0,False,False,51.19993764665806,-2.901568120656222,
2024-04-18 13:15:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,8.0,False,False,55.03990133163846,-0.8372614045567275,
2024-04-18 13:30:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,9.0,False,True,54.14938689430704,0.5254943157387828,
2024-04-18 13:45:00-04:00,AAPL,B,pullback_gate_fail,SHORT,,,10.0,False,True,54.796021470874045,0.4504236992046735,
2024-04-18 14:00:00-04:00,AAPL,B,window_expired,SHORT,,,11.0,,,,,
2024-04-19 11:45:00-04:00,AAPL,B,flip_armed,LONG,203.90689173901922,corrective,,,,,,
2024-04-19 12:00:00-04:00,AAPL,B,pullback_gate_fail,LONG,,,1.0,True,False,56.92977081569671,-1.4157028915639742,
2024-04-19 12:15:00-04:00,AAPL,B,pullback_gate_fail,LONG,,,2.0,True,False,58.32149684573436,-0.5395639404048893,
2024-04-19 12:30:00-04:00,AAPL,B,pullback_gate_fail,LONG,,,3.0,True,False,52.595731019444294,-1.9793824225401835,
2024-04-19 12:45:00-04:00,AAPL,B,pullback_gate_fail,LONG,,,4.0,True,False,57.30869063861312,-1.1888659844906044,
2024-04-19 13:00:00-04:00,AAPL,B,pullback_gate_fail,LONG,,,5.0,True,False,55.97908249708327,-1.0190279867062344,
2024-04-19 13:15:00-04:00,AAPL,B,pullback_entry,LONG,207.33299764442128,,6.0,,,60.307193219152644,1.844047354677393,210.32951998737232
2024-04-22 13:00:00-04:00,AAPL,B,flip_armed,LONG,204.31336584603994,corrective,,,,,,
