ts,symbol,combo,event,direction,st_line,regime,bars_since_flip,low,high,rsi_ok,adx_slope_ok,rsi,adx_slope
2024-08-15,AAPL,B,flip_armed,SHORT,355.5519107989557,corrective,,,,,,,
2024-08-16,AAPL,B,no_pullback,SHORT,352.289186941812,,1.0,309.5447447505214,322.33988436381725,,,,
2024-08-19,AAPL,B,no_pullback,SHORT,339.71130689695434,,2.0,297.76302037797586,310.077822208376,,,,
2024-08-20,AAPL,B,no_pullback,SHORT,332.2479828284297,,3.0,287.4428564397348,304.23396223346055,,,,
2024-08-21,AAPL,B,no_pullback,SHORT,332.2479828284297,,4.0,288.9929536670842,304.2007002817293,,,,
2024-08-22,AAPL,B,no_pullback,SHORT,332.2479828284297,,5.0,291.98466134474984,303.67715143400955,,,,
2024-08-23,AAPL,B,no_pullback,SHORT,332.2479828284297,,6.0,288.1889611608241,304.9974605631471,,,,
2024-08-26,AAPL,B,no_pullback,SHORT,327.2147332632676,,7.0,284.92705258097055,297.5645273612228,,,,
2024-08-27,AAPL,B,no_pullback,SHORT,327.2147332632676,,8.0,290.9429982961441,298.3732161041874,,,,
2024-08-28,AAPL,B,no_pullback,SHORT,323.39147971152215,,9.0,286.0559616424703,294.7611283032486,,,,
2024-08-29,AAPL,B,no_pullback,SHORT,323.39147971152215,,10.0,289.0789006963709,299.2443232776046,,,,
2024-08-30,AAPL,B,window_expired,SHORT,,,11.0,,,,,,
2024-10-29,AAPL,B,flip_armed,LONG,242.55046515187445,trending,,,,,,,
2024-10-30,AAPL,B,no_pullback,LONG,250.2054032535069,,1.0,277.7987797590163,287.4991906533955,,,,
2024-10-31,AAPL,B,no_pullback,LONG,250.2054032535069,,2.0,267.9484468492345,279.7543305667458,,,,
2024-11-01,AAPL,B,no_pullback,LONG,250.2054032535069,,3.0,268.44002037558926,277.4161019213979,,,,
2024-11-04,AAPL,B,no_pullback,LONG,250.2054032535069,,4.0,272.8250949894113,284.8817199431655,,,,
2024-11-05,AAPL,B,no_pullback,LONG,250.2054032535069,,5.0,270.08504367494487,288.4752765804006,,,,
2024-11-06,AAPL,B,no_pullback,LONG,250.2054032535069,,6.0,270.5076897048832,282.63771520395636,,,,
2024-11-07,AAPL,B,no_pullback,LONG,250.2054032535069,,7.0,268.3549968628888,284.6282743890119,,,,
2024-11-08,AAPL,B,no_pullback,LONG,250.2054032535069,,8.0,261.0586501291466,277.4090817023886,,,,
2024-11-11,AAPL,B,pullback_gate_fail,LONG,,,9.0,,,False,False,41.12476165652406,-0.27124599290137397
2024-11-12,AAPL,B,reflip_disarm,LONG,,,10.0,,,,,,
2024-11-12,AAPL,B,flip_armed,SHORT,289.0894763212197,trending,,,,,,,
2024-11-13,AAPL,B,no_pullback,SHORT,283.8976558929067,,1.0,247.33288444401785,257.11053909021297,,,,
2024-11-14,AAPL,B,no_pullback,SHORT,283.8976558929067,,2.0,254.13726343107308,262.08262855483434,,,,
2024-11-15,AAPL,B,no_pullback,SHORT,283.8976558929067,,3.0,252.96383959023515,265.2614087787248,,,,
2024-11-18,AAPL,B,no_pullback,SHORT,283.8976558929067,,4.0,259.83804864680906,266.26250788982577,,,,
2024-11-19,AAPL,B,no_pullback,SHORT,283.8976558929067,,5.0,258.71129139598196,270.174688309993,,,,
2024-11-20,AAPL,B,pullback_gate_fail,SHORT,,,6.0,,,False,True,53.50280759600936,1.7112065774449192
2024-11-21,AAPL,B,pullback_gate_fail,SHORT,,,7.0,,,False,True,56.60920524518042,4.274277692099499
2024-11-22,AAPL,B,pullback_gate_fail,SHORT,,,8.0,,,False,True,55.461306657026746,3.68463867697794
2024-11-25,AAPL,B,pullback_gate_fail,SHORT,,,9.0,,,False,True,54.805781515075886,1.7833888147020076
2024-11-26,AAPL,B,pullback_gate_fail,SHORT,,,10.0,,,False,True,57.19453646494028,1.5286189840302917
2024-11-27,AAPL,B,window_expired,SHORT,,,11.0,,,,,,
2024-11-28,AAPL,B,flip_armed,LONG,249.97895567322624,trending,,,,,,,
2024-11-29,AAPL,B,no_pullback,LONG,257.2243613899789,,1.0,281.56497628094667,291.7665488844687,,,,
2024-12-02,AAPL,B,no_pullback,LONG,257.2243613899789,,2.0,280.162107871069,288.335907333186,,,,
2024-12-03,AAPL,B,no_pullback,LONG,265.75229852897274,,3.0,284.93689411448565,310.94507115278026,,,,
2024-12-04,AAPL,B,no_pullback,LONG,278.98021896447557,,4.0,305.32859086138916,315.81436605051164,,,,
2024-12-05,AAPL,B,no_pullback,LONG,278.98021896447557,,5.0,294.86165805809424,311.2517183860534,,,,
2024-12-06,AAPL,B,no_pullback,LONG,278.98021896447557,,6.0,301.08884081505647,312.3803467083789,,,,
2024-12-09,AAPL,B,no_pullback,LONG,280.18442431365355,,7.0,307.26432487340884,314.5031394811657,,,,
2024-12-10,AAPL,B,no_pullback,LONG,285.6982311159298,,8.0,309.8477268440594,323.76725224062227,,,,
2024-12-11,AAPL,B,no_pullback,LONG,285.6982311159298,,9.0,304.0012088300743,314.0547813143038,,,,
2024-12-12,AAPL,B,no_pullback,LONG,285.6982311159298,,10.0,306.13494977491916,317.04650282670804,,,,
2024-12-13,AAPL,B,window_expired,LONG,,,11.0,,,,,,
2025-01-21,AAPL,B,flip_armed,SHORT,484.2613102452606,corrective,,,,,,,
2025-01-22,AAPL,B,no_pullback,SHORT,470.0459959586027,,1.0,410.14375236726625,428.50437721529875,,,,
2025-01-23,AAPL,B,no_pullback,SHORT,470.0459959586027,,2.0,406.1645321495295,437.9809000912068,,,,
2025-01-24,AAPL,B,no_pullback,SHORT,470.0459959586027,,3.0,433.1199210216588,451.19942432820005,,,,
2025-01-27,AAPL,B,pullback_gate_fail,SHORT,,,4.0,,,False,False,64.14755621836568,-0.9528483010531659
2025-01-28,AAPL,B,pullback_gate_fail,SHORT,,,5.0,,,False,True,66.57870685297192,0.7525173858311476
2025-01-29,AAPL,B,reflip_disarm,SHORT,,,6.0,,,,,,
2025-01-29,AAPL,B,flip_armed,LONG,413.9679136844221,corrective,,,,,,,
2025-01-30,AAPL,B,no_pullback,LONG,425.1888703590045,,1.0,466.684062914561,485.10420726590894,,,,
2025-01-31,AAPL,B,no_pullback,LONG,425.1888703590045,,2.0,456.7351410732172,478.53822018973653,,,,
2025-02-03,AAPL,B,no_pullback,LONG,425.1888703590045,,3.0,448.2640128700921,462.98765297365304,,,,
2025-02-04,AAPL,B,no_pullback,LONG,425.1888703590045,,4.0,451.57495013204834,466.7111368489556,,,,
2025-02-05,AAPL,B,no_pullback,LONG,425.1888703590045,,5.0,461.48738609325903,473.7313865649775,,,,
2025-02-06,AAPL,B,no_pullback,LONG,431.40615136673694,,6.0,466.44257248655305,494.3791406009514,,,,
2025-02-07,AAPL,B,no_pullback,LONG,446.67440937872146,,7.0,485.5689863680505,506.4076170479895,,,,
2025-02-10,AAPL,B,no_pullback,LONG,446.67440937872146,,8.0,480.36805001912126,500.85602713788035,,,,
2025-02-11,AAPL,B,no_pullback,LONG,446.67440937872146,,9.0,481.516129779555,500.15076468125795,,,,
2025-02-12,AAPL,B,no_pullback,LONG,447.24747605665226,,10.0,487.80553174157995,502.7390519118311,,,,
2025-02-13,AAPL,B,window_expired,LONG,,,11.0,,,,,,
2025-04-18,AAPL,B,flip_armed,SHORT,805.8200023380083,trending,,,,,,,
2025-04-21,AAPL,B,no_pullback,SHORT,795.1276692350584,,1.0,687.0317860630103,715.2139035088586,,,,
2025-04-22,AAPL,B,no_pullback,SHORT,795.1276692350584,,2.0,699.5085815656977,721.5996128615207,,,,
2025-04-23,AAPL,B,no_pullback,SHORT,789.2767306001773,,3.0,691.6150969127913,713.6780887021719,,,,
2025-04-24,AAPL,B,no_pullback,SHORT,789.2767306001773,,4.0,699.7828290948452,724.0958101687161,,,,
2025-04-25,AAPL,B,no_pullback,SHORT,780.6083625884729,,5.0,679.7427753550028,713.3757818613569,,,,
2025-04-28,AAPL,B,no_pullback,SHORT,771.4367428838808,,6.0,672.7551717397715,703.4716991555655,,,,
2025-04-29,AAPL,B,no_pullback,SHORT,770.1528283002428,,7.0,679.1388664371505,700.5028466644854,,,,
2025-04-30,AAPL,B,no_pullback,SHORT,770.1528283002428,,8.0,676.721105958111,707.2307785940072,,,,
2025-05-01,AAPL,B,no_pullback,SHORT,764.8570217976167,,9.0,667.6625677838218,701.3437418554006,,,,
2025-05-02,AAPL,B,no_pullback,SHORT,764.8570217976167,,10.0,661.5007797308529,709.7386525478274,,,,
2025-05-05,AAPL,B,window_expired,SHORT,,,11.0,,,,,,
2025-06-04,AAPL,B,flip_armed,LONG,683.9200077438492,trending,,,,,,,
2025-06-05,AAPL,B,no_pullback,LONG,683.9200077438492,,1.0,744.0798604327465,769.791674916173,,,,
2025-06-06,AAPL,B,no_pullback,LONG,683.9200077438492,,2.0,718.3580052282778,752.7048447488464,,,,
2025-06-09,AAPL,B,no_pullback,LONG,683.9200077438492,,3.0,715.9828712320675,749.9635108821464,,,,
2025-06-10,AAPL,B,no_pullback,LONG,683.9200077438492,,4.0,742.9806995470417,776.0273649430261,,,,
2025-06-11,AAPL,B,no_pullback,LONG,694.6336832233367,,5.0,760.8427666743631,779.9003676756921,,,,
2025-06-12,AAPL,B,no_pullback,LONG,705.727785824832,,6.0,766.9027171749345,794.8593740006116,,,,
2025-06-13,AAPL,B,no_pullback,LONG,705.727785824832,,7.0,764.382478573118,796.1773511616178,,,,
2025-06-16,AAPL,B,no_pullback,LONG,715.2533440943026,,8.0,777.6476398219002,800.1824038730892,,,,
2025-06-17,AAPL,B,no_pullback,LONG,724.8428813710279,,9.0,779.5609432873158,825.8707355336553,,,,
2025-06-18,AAPL,B,no_pullback,LONG,727.9472146671739,,10.0,785.2957347431762,836.2443033812145,,,,
2025-06-19,AAPL,B,window_expired,LONG,,,11.0,,,,,,
2025-10-03,AAPL,B,flip_armed,SHORT,1432.9544832820134,trending,,,,,,,
2025-10-06,AAPL,B,no_pullback,SHORT,1379.4025283467213,,1.0,1183.054276911902,1223.6493344375442,,,,
2025-10-07,AAPL,B,no_pullback,SHORT,1379.4025283467213,,2.0,1213.9500214799968,1249.7223464942278,,,,
2025-10-08,AAPL,B,no_pullback,SHORT,1379.4025283467213,,3.0,1236.4223924327414,1279.745212009112,,,,
2025-10-09,AAPL,B,no_pullback,SHORT,1379.4025283467213,,4.0,1231.7479132618328,1295.1987496202094,,,,
2025-10-10,AAPL,B,no_pullback,SHORT,1379.4025283467213,,5.0,1255.2174253219841,1301.6272987014313,,,,
2025-10-13,AAPL,B,pullback_gate_fail,SHORT,,,6.0,,,False,True,55.76863964241121,0.18937032923259878
2025-10-14,AAPL,B,pullback_gate_fail,SHORT,,,7.0,,,False,True,56.6308132136507,3.1739513640779364
2025-10-15,AAPL,B,reflip_disarm,SHORT,,,8.0,,,,,,
2025-10-15,AAPL,B,flip_armed,LONG,1211.5674477120626,trending,,,,,,,
2025-10-16,AAPL,B,no_pullback,LONG,1284.8298229306702,,1.0,1403.4617015865754,1517.8420015202635,,,,
2025-10-17,AAPL,B,no_pullback,LONG,1353.4631828323177,,2.0,1502.429238569993,1539.5243186611897,,,,
2025-10-20,AAPL,B,no_pullback,LONG,1367.6256224320614,,3.0,1497.8076674179547,1580.1284322941667,,,,
2025-10-21,AAPL,B,no_pullback,LONG,1376.4044265919345,,4.0,1514.2061566696493,1579.8319750851867,,,,
2025-10-22,AAPL,B,no_pullback,LONG,1393.0146869426508,,5.0,1524.8350536770613,1611.7662881671606,,,,
2025-10-23,AAPL,B,no_pullback,LONG,1419.8429102492819,,6.0,1561.4326871954381,1626.1031217368698,,,,
2025-10-24,AAPL,B,no_pullback,LONG,1419.8429102492819,,7.0,1515.5881796195595,1577.2015950365526,,,,
2025-10-27,AAPL,B,no_pullback,LONG,1419.8429102492819,,8.0,1486.6357786335811,1533.5839853427153,,,,
2025-10-28,AAPL,B,no_pullback,LONG,1419.8429102492819,,9.0,1470.080779399628,1552.5183244116872,,,,
2025-10-29,AAPL,B,no_pullback,LONG,1419.8429102492819,,10.0,1497.3011119960402,1574.086050357195,,,,
2025-10-30,AAPL,B,window_expired,LONG,,,11.0,,,,,,
