ts,symbol,combo,event,direction,st_line,regime,bars_since_flip,low,high,rsi,adx14,rsi_ok,adx_level_ok
2024-08-15,AAPL,B,flip_armed,SHORT,355.5519107989557,corrective,,,,,,,
2024-08-16,AAPL,B,no_pullback,SHORT,352.289186941812,,1.0,309.5447447505214,322.33988436381725,,,,
2024-08-19,AAPL,B,no_pullback,SHORT,339.71130689695434,,2.0,297.76302037797586,310.077822208376,,,,
2024-08-20,AAPL,B,no_pullback,SHORT,332.2479828284297,,3.0,287.4428564397348,304.23396223346055,,,,
2024-08-21,AAPL,B,no_pullback,SHORT,332.2479828284297,,4.0,288.9929536670842,304.2007002817293,,,,
2024-08-22,AAPL,B,no_pullback,SHORT,332.2479828284297,,5.0,291.98466134474984,303.67715143400955,,,,
2024-08-23,AAPL,B,no_pullback,SHORT,332.2479828284297,,6.0,288.1889611608241,304.9974605631471,,,,
2024-08-26,AAPL,B,no_pullback,SHORT,327.2147332632676,,7.0,284.92705258097055,297.5645273612228,,,,
2024-08-27,AAPL,B,no_pullback,SHORT,327.2147332632676,,8.0,290.9429982961441,298.3732161041874,,,,
2024-08-28,AAPL,B,no_pullback,SHORT,323.39147971152215,,9.0,286.0559616424703,294.7611283032486,,,,
2024-08-29,AAPL,B,pullback_entry,SHORT,323.39147971152215,,10.0,289.0789006963709,,43.175907143589384,26.709588255399435,,
2024-10-29,AAPL,B,flip_armed,LONG,242.55046515187445,trending,,,,,,,
2024-10-30,AAPL,B,no_pullback,LONG,250.2054032535069,,1.0,277.7987797590163,287.4991906533955,,,,
2024-10-31,AAPL,B,pullback_gate_fail,LONG,,,2.0,,,47.44067781973427,14.449801922302196,False,False
2024-11-01,AAPL,B,pullback_gate_fail,LONG,,,3.0,,,51.244997351755025,13.500556615075128,True,False
2024-11-04,AAPL,B,no_pullback,LONG,250.2054032535069,,4.0,272.8250949894113,284.8817199431655,,,,
2024-11-05,AAPL,B,pullback_gate_fail,LONG,,,5.0,,,53.427428634966084,13.181197019612943,True,False
2024-11-06,AAPL,B,no_pullback,LONG,250.2054032535069,,6.0,270.5076897048832,282.63771520395636,,,,
2024-11-07,AAPL,B,pullback_gate_fail,LONG,,,7.0,,,48.512423454918185,12.928938928098196,False,False
2024-11-08,AAPL,B,pullback_gate_fail,LONG,,,8.0,,,43.56731475303403,12.018545792009938,False,False
2024-11-11,AAPL,B,pullback_gate_fail,LONG,,,9.0,,,41.12476165652406,11.631979493896969,False,False
2024-11-12,AAPL,B,reflip_disarm,LONG,,,10.0,,,,,,
2024-11-12,AAPL,B,flip_armed,SHORT,289.0894763212197,trending,,,,,,,
2024-11-13,AAPL,B,no_pullback,SHORT,283.8976558929067,,1.0,247.33288444401785,257.11053909021297,,,,
2024-11-14,AAPL,B,pullback_gate_fail,SHORT,,,2.0,,,43.17635273875614,11.892759258284284,True,False
2024-11-15,AAPL,B,pullback_gate_fail,SHORT,,,3.0,,,47.544266146213914,11.350048848854561,True,False
2024-11-18,AAPL,B,pullback_gate_fail,SHORT,,,4.0,,,46.23873405589155,10.73884062978003,True,False
2024-11-19,AAPL,B,pullback_gate_fail,SHORT,,,5.0,,,46.014469614268904,10.19176656424172,True,False
2024-11-20,AAPL,B,pullback_gate_fail,SHORT,,,6.0,,,53.50280759600936,10.220911927953942,False,False
2024-11-21,AAPL,B,pullback_gate_fail,SHORT,,,7.0,,,56.60920524518042,11.08591623423529,False,False
2024-11-22,AAPL,B,pullback_gate_fail,SHORT,,,8.0,,,55.461306657026746,11.8960535187758,False,False
2024-11-25,AAPL,B,pullback_gate_fail,SHORT,,,9.0,,,54.805781515075886,12.405917875676337,False,False
2024-11-26,AAPL,B,pullback_gate_fail,SHORT,,,10.0,,,57.19453646494028,12.879363349941123,False,False
2024-11-27,AAPL,B,pullback_gate_fail,SHORT,,,11.0,,,51.5259499826797,13.318991290329853,False,False
2024-11-28,AAPL,B,reflip_disarm,SHORT,,,12.0,,,,,,
2024-11-28,AAPL,B,flip_armed,LONG,249.97895567322624,trending,,,,,,,
2024-11-29,AAPL,B,no_pullback,LONG,257.2243613899789,,1.0,281.56497628094667,291.7665488844687,,,,
2024-12-02,AAPL,B,no_pullback,LONG,257.2243613899789,,2.0,280.162107871069,288.335907333186,,,,
2024-12-03,AAPL,B,pullback_gate_fail,LONG,,,3.0,,,68.06642546481186,18.738052078551068,True,False
2024-12-04,AAPL,B,no_pullback,LONG,278.98021896447557,,4.0,305.32859086138916,315.81436605051164,,,,
2024-12-05,AAPL,B,pullback_entry,LONG,278.98021896447557,,5.0,294.86165805809424,,63.97472550250409,22.069613021588545,,
2025-01-21,AAPL,B,flip_armed,SHORT,484.2613102452606,corrective,,,,,,,
2025-01-22,AAPL,B,no_pullback,SHORT,470.0459959586027,,1.0,410.14375236726625,428.50437721529875,,,,
2025-01-23,AAPL,B,pullback_gate_fail,SHORT,,,2.0,,,58.30953543839749,47.85875359968723,False,True
2025-01-24,AAPL,B,pullback_gate_fail,SHORT,,,3.0,,,61.72530377366896,46.472918760817336,False,True
2025-01-27,AAPL,B,pullback_gate_fail,SHORT,,,4.0,,,64.14755621836568,45.504334750594126,False,True
2025-01-28,AAPL,B,pullback_gate_fail,SHORT,,,5.0,,,66.57870685297192,44.97935548090512,False,True
2025-01-29,AAPL,B,reflip_disarm,SHORT,,,6.0,,,,,,
2025-01-29,AAPL,B,flip_armed,LONG,413.9679136844221,corrective,,,,,,,
2025-01-30,AAPL,B,no_pullback,LONG,425.1888703590045,,1.0,466.684062914561,485.10420726590894,,,,
2025-01-31,AAPL,B,pullback_entry,LONG,425.1888703590045,,2.0,456.7351410732172,,60.579774422751065,43.84226587553864,,
2025-04-18,AAPL,B,flip_armed,SHORT,805.8200023380083,trending,,,,,,,
2025-04-21,AAPL,B,no_pullback,SHORT,795.1276692350584,,1.0,687.0317860630103,715.2139035088586,,,,
2025-04-22,AAPL,B,no_pullback,SHORT,795.1276692350584,,2.0,699.5085815656977,721.5996128615207,,,,
2025-04-23,AAPL,B,no_pullback,SHORT,789.2767306001773,,3.0,691.6150969127913,713.6780887021719,,,,
2025-04-24,AAPL,B,no_pullback,SHORT,789.2767306001773,,4.0,699.7828290948452,724.0958101687161,,,,
2025-04-25,AAPL,B,no_pullback,SHORT,780.6083625884729,,5.0,679.7427753550028,713.3757818613569,,,,
2025-04-28,AAPL,B,no_pullback,SHORT,771.4367428838808,,6.0,672.7551717397715,703.4716991555655,,,,
2025-04-29,AAPL,B,no_pullback,SHORT,770.1528283002428,,7.0,679.1388664371505,700.5028466644854,,,,
2025-04-30,AAPL,B,no_pullback,SHORT,770.1528283002428,,8.0,676.721105958111,707.2307785940072,,,,
2025-05-01,AAPL,B,no_pullback,SHORT,764.8570217976167,,9.0,667.6625677838218,701.3437418554006,,,,
2025-05-02,AAPL,B,pullback_gate_fail,SHORT,,,10.0,,,50.218798534650084,21.903294387307565,False,True
2025-05-05,AAPL,B,pullback_entry,SHORT,764.8570217976167,,11.0,697.2524839997352,,49.46537591906324,20.663015701655485,,
2025-06-04,AAPL,B,flip_armed,LONG,683.9200077438492,trending,,,,,,,
2025-06-05,AAPL,B,no_pullback,LONG,683.9200077438492,,1.0,744.0798604327465,769.791674916173,,,,
2025-06-06,AAPL,B,pullback_gate_fail,LONG,,,2.0,,,52.59783213570866,13.413564057687568,True,False
2025-06-09,AAPL,B,pullback_gate_fail,LONG,,,3.0,,,57.63672713783145,13.225540127441473,True,False
2025-06-10,AAPL,B,no_pullback,LONG,683.9200077438492,,4.0,742.9806995470417,776.0273649430261,,,,
2025-06-11,AAPL,B,no_pullback,LONG,694.6336832233367,,5.0,760.8427666743631,779.9003676756921,,,,
2025-06-12,AAPL,B,no_pullback,LONG,705.727785824832,,6.0,766.9027171749345,794.8593740006116,,,,
2025-06-13,AAPL,B,no_pullback,LONG,705.727785824832,,7.0,764.382478573118,796.1773511616178,,,,
2025-06-16,AAPL,B,no_pullback,LONG,715.2533440943026,,8.0,777.6476398219002,800.1824038730892,,,,
2025-06-17,AAPL,B,pullback_entry,LONG,724.8428813710279,,9.0,779.5609432873158,,69.50189510610566,20.349051629886148,,
2025-10-03,AAPL,B,flip_armed,SHORT,1432.9544832820134,trending,,,,,,,
2025-10-06,AAPL,B,no_pullback,SHORT,1379.4025283467213,,1.0,1183.054276911902,1223.6493344375442,,,,
2025-10-07,AAPL,B,no_pullback,SHORT,1379.4025283467213,,2.0,1213.9500214799968,1249.7223464942278,,,,
2025-10-08,AAPL,B,pullback_gate_fail,SHORT,,,3.0,,,45.69176030785032,19.341832859431133,True,False
2025-10-09,AAPL,B,pullback_gate_fail,SHORT,,,4.0,,,49.53581057324346,18.147395379126646,True,False
2025-10-10,AAPL,B,pullback_gate_fail,SHORT,,,5.0,,,49.12883074124283,16.9243919180278,True,False
2025-10-13,AAPL,B,pullback_gate_fail,SHORT,,,6.0,,,55.76863964241121,16.405000793951388,False,False
2025-10-14,AAPL,B,pullback_gate_fail,SHORT,,,7.0,,,56.6308132136507,16.836719260333442,False,False
2025-10-15,AAPL,B,reflip_disarm,SHORT,,,8.0,,,,,,
2025-10-15,AAPL,B,flip_armed,LONG,1211.5674477120626,trending,,,,,,,
2025-10-16,AAPL,B,no_pullback,LONG,1284.8298229306702,,1.0,1403.4617015865754,1517.8420015202635,,,,
2025-10-17,AAPL,B,no_pullback,LONG,1353.4631828323177,,2.0,1502.429238569993,1539.5243186611897,,,,
2025-10-20,AAPL,B,no_pullback,LONG,1367.6256224320614,,3.0,1497.8076674179547,1580.1284322941667,,,,
2025-10-21,AAPL,B,no_pullback,LONG,1376.4044265919345,,4.0,1514.2061566696493,1579.8319750851867,,,,
2025-10-22,AAPL,B,no_pullback,LONG,1393.0146869426508,,5.0,1524.8350536770613,1611.7662881671606,,,,
2025-10-23,AAPL,B,no_pullback,LONG,1419.8429102492819,,6.0,1561.4326871954381,1626.1031217368698,,,,
2025-10-24,AAPL,B,pullback_entry,LONG,1419.8429102492819,,7.0,1515.5881796195595,,63.50605242273965,28.476167283907508,,
2025-12-22,AAPL,B,flip_armed,SHORT,2262.1089110888306,corrective,,,,,,,
2025-12-23,AAPL,B,no_pullback,SHORT,2240.1342481933493,,1.0,1960.6582271008185,2042.8948393555543,,,,
2025-12-24,AAPL,B,no_pullback,SHORT,2238.5245374108063,,2.0,1984.5549422574281,2037.1518111704038,,,,
2025-12-25,AAPL,B,pullback_gate_fail,SHORT,,,3.0,,,58.122313738440305,41.80950930896047,False,True
2025-12-26,AAPL,B,no_pullback,SHORT,2238.5245374108063,,4.0,1994.3044685942673,2058.472791636797,,,,
2025-12-29,AAPL,B,pullback_gate_fail,SHORT,,,5.0,,,52.144211841090794,38.62212274722479,False,True
2025-12-30,AAPL,B,no_pullback,SHORT,2189.169150352714,,6.0,1935.891605262332,2010.0708610414918,,,,
2025-12-31,AAPL,B,pullback_gate_fail,SHORT,,,7.0,,,54.9661635759867,34.83945110318171,False,True
2026-01-01,AAPL,B,pullback_entry,SHORT,2189.169150352714,,8.0,1954.532284745599,,49.928448794654614,33.3490779946773,,
2026-02-03,AAPL,B,flip_armed,LONG,1642.7230950971546,trending,,,,,,,
2026-02-04,AAPL,B,pullback_gate_fail,LONG,,,1.0,,,49.772293868960446,21.090450298400597,False,True
2026-02-05,AAPL,B,pullback_gate_fail,LONG,,,2.0,,,46.71319882648844,20.169603179194464,False,True
2026-02-06,AAPL,B,pullback_gate_fail,LONG,,,3.0,,,47.59061305611597,19.31453085421734,False,False
2026-02-09,AAPL,B,pullback_gate_fail,LONG,,,4.0,,,51.72314714978278,18.010146415342042,True,False
2026-02-10,AAPL,B,no_pullback,LONG,1642.7230950971546,,5.0,1789.9822568610218,1915.6038824589075,,,,
2026-02-11,AAPL,B,no_pullback,LONG,1671.5745522761767,,6.0,1844.8289893144845,1924.9953567497548,,,,
2026-02-12,AAPL,B,pullback_gate_fail,LONG,,,7.0,,,51.82564046978827,18.1572895088613,True,False
2026-02-13,AAPL,B,pullback_gate_fail,LONG,,,8.0,,,54.69085350886081,17.353131619045257,True,False
2026-02-16,AAPL,B,no_pullback,LONG,1671.5745522761767,,9.0,1816.340549785826,1928.3332837821088,,,,
