ts,symbol,combo,event,direction,st_line,regime,bars_since_flip,rsi,adx14,low,rsi_ok,adx_level_ok,high
2023-08-29,AAPL,B,flip_armed,LONG,173.75550180301954,corrective,,,,,,,
2023-08-30,AAPL,B,pullback_entry,LONG,177.75995162271758,,1.0,59.479688601213525,31.86098544947854,184.76,,,
2023-09-07,AAPL,B,flip_armed,SHORT,186.2006610413015,corrective,,,,,,,
2023-09-08,AAPL,B,pullback_entry,SHORT,186.2006610413015,,1.0,42.483405666880294,27.771777305438455,177.82,,,
2023-10-09,AAPL,B,flip_armed,LONG,168.712736252071,corrective,,,,,,,
2023-10-10,AAPL,B,pullback_entry,LONG,170.54521262686393,,1.0,54.008217215653765,21.883197108051547,177.96,,,
2023-10-25,AAPL,B,flip_armed,SHORT,179.48448990795518,corrective,,,,,,,
2023-10-26,AAPL,B,pullback_entry,SHORT,176.79454091715965,,1.0,30.082512471036637,21.099858950167864,165.71,,,
2023-11-02,AAPL,B,flip_armed,LONG,168.3686730338264,trending,,,,,,,
2023-11-03,AAPL,B,pullback_entry,LONG,168.3686730338264,,1.0,54.49181030990514,21.21029009479211,173.385,,,
2024-01-02,AAPL,B,flip_armed,SHORT,193.78094933154085,trending,,,,,,,
2024-01-03,AAPL,B,pullback_entry,SHORT,192.14985439838676,,1.0,33.13748490077015,25.93771386117168,183.44,,,
2024-01-19,AAPL,B,flip_armed,LONG,181.79116065243514,trending,,,,,,,
2024-01-22,AAPL,B,pullback_entry,LONG,185.13529458719162,,1.0,60.74270377687131,23.521732790954733,192.32,,,
2024-01-31,AAPL,B,flip_armed,SHORT,193.87538946235946,trending,,,,,,,
2024-02-01,AAPL,B,pullback_gate_fail,SHORT,,,1.0,45.11022020901926,19.473791657457433,,True,False,
2024-02-02,AAPL,B,pullback_entry,SHORT,192.6003154645112,,2.0,43.317606252928904,20.46719234693093,179.25,,,
2024-03-20,AAPL,B,flip_armed,LONG,168.30728745287465,trending,,,,,,,
2024-03-21,AAPL,B,pullback_gate_fail,LONG,,,1.0,39.21690780755423,27.183116581000004,,False,True,
2024-03-22,AAPL,B,pullback_gate_fail,LONG,,,2.0,41.16965474804494,26.55081721217252,,False,True,
2024-03-25,AAPL,B,pullback_gate_fail,LONG,,,3.0,39.073518722625096,26.117338073643406,,False,True,
2024-03-26,AAPL,B,pullback_gate_fail,LONG,,,4.0,37.58035075922479,25.714821730723514,,False,True,
2024-03-27,AAPL,B,pullback_gate_fail,LONG,,,5.0,45.370429522113675,24.49253379450411,,False,True,
2024-03-28,AAPL,B,pullback_gate_fail,LONG,,,6.0,42.34035809260786,23.357552139443236,,False,True,
2024-04-01,AAPL,B,pullback_gate_fail,LONG,,,7.0,39.94249595959949,22.637095542620802,,False,True,
2024-04-02,AAPL,B,pullback_gate_fail,LONG,,,8.0,38.36243741991465,22.340482426326066,,False,True,
2024-04-03,AAPL,B,pullback_gate_fail,LONG,,,9.0,40.34188439221278,21.5050229887507,,False,True,
2024-04-04,AAPL,B,pullback_gate_fail,LONG,,,10.0,38.880992449119695,20.23872405127218,,False,True,
2024-04-05,AAPL,B,pullback_gate_fail,LONG,,,11.0,41.024139939817594,19.062875037899268,,False,False,
2024-04-08,AAPL,B,pullback_gate_fail,LONG,,,12.0,38.97784033173445,18.244135947891152,,False,False,
2024-04-09,AAPL,B,pullback_gate_fail,LONG,,,13.0,42.14042938755171,17.092576336817473,,False,False,
2024-04-10,AAPL,B,reflip_disarm,LONG,,,14.0,,,,,,
2024-04-10,AAPL,B,flip_armed,SHORT,174.6515333526944,corrective,,,,,,,
2024-04-11,AAPL,B,reflip_disarm,SHORT,,,1.0,,,,,,
2024-04-11,AAPL,B,flip_armed,LONG,163.98336998257503,corrective,,,,,,,
2024-04-12,AAPL,B,pullback_gate_fail,LONG,,,1.0,56.88231233945266,17.92281279428139,,True,False,
2024-04-15,AAPL,B,pullback_gate_fail,LONG,,,2.0,49.4764199079992,18.20294132525109,,False,False,
2024-04-16,AAPL,B,pullback_gate_fail,LONG,,,3.0,44.0891728963591,17.067188038151986,,False,False,
2024-04-17,AAPL,B,reflip_disarm,LONG,,,4.0,,,,,,
2024-04-17,AAPL,B,flip_armed,SHORT,177.9302579544325,corrective,,,,,,,
2024-04-18,AAPL,B,pullback_gate_fail,SHORT,,,1.0,40.72861298942999,15.132323964131535,,True,False,
2024-04-19,AAPL,B,pullback_gate_fail,SHORT,,,2.0,37.82685478770878,15.060780264428393,,True,False,
2024-04-22,AAPL,B,pullback_gate_fail,SHORT,,,3.0,39.94167173841476,14.702306577509706,,True,False,
2024-04-23,AAPL,B,pullback_gate_fail,SHORT,,,4.0,41.95600277753606,14.369438153942353,,True,False,
2024-04-24,AAPL,B,pullback_gate_fail,SHORT,,,5.0,46.79260103291896,13.385311672636904,,True,False,
2024-04-25,AAPL,B,pullback_gate_fail,SHORT,,,6.0,48.555605240758176,12.875903700177055,,True,False,
2024-04-26,AAPL,B,pullback_gate_fail,SHORT,,,7.0,47.09841110353173,12.625841483711167,,True,False,
2024-04-29,AAPL,B,reflip_disarm,SHORT,,,8.0,,,,,,
2024-04-29,AAPL,B,flip_armed,LONG,166.32004347117513,corrective,,,,,,,
2024-04-30,AAPL,B,pullback_gate_fail,LONG,,,1.0,48.796838544517875,13.464042033915653,,False,False,
2024-05-01,AAPL,B,pullback_gate_fail,LONG,,,2.0,47.54170330466211,13.044614148909407,,False,False,
2024-05-02,AAPL,B,pullback_gate_fail,LONG,,,3.0,54.29923175501402,12.854669135652783,,True,False,
2024-05-03,AAPL,B,pullback_gate_fail,LONG,,,4.0,66.7497977822876,15.08013092238117,,True,False,
2024-05-06,AAPL,B,pullback_gate_fail,LONG,,,5.0,63.57712851391263,16.500257279977873,,True,False,
2024-05-07,AAPL,B,pullback_gate_fail,LONG,,,6.0,64.34286542640558,17.921424247753226,,True,False,
2024-05-08,AAPL,B,pullback_gate_fail,LONG,,,7.0,64.75821022624605,19.24107928925891,,True,False,
2024-05-09,AAPL,B,pullback_entry,LONG,173.52890636749046,,8.0,66.82786833226425,20.702988287000462,182.14,,,
2024-07-24,AAPL,B,flip_armed,SHORT,234.5168087127455,corrective,,,,,,,
2024-07-25,AAPL,B,pullback_entry,SHORT,231.46412784147097,,1.0,47.25754145319917,36.0789669424842,214.64,,,
2024-09-16,AAPL,B,flip_armed,SHORT,227.73987603390756,corrective,,,,,,,
2024-09-17,AAPL,B,pullback_gate_fail,SHORT,,,1.0,40.22905164362343,15.944260696360445,,True,False,
2024-09-18,AAPL,B,pullback_gate_fail,SHORT,,,2.0,48.498110410784946,15.451686174295757,,True,False,
2024-09-19,AAPL,B,reflip_disarm,SHORT,,,3.0,,,,,,
2024-09-19,AAPL,B,flip_armed,LONG,214.32392287128138,corrective,,,,,,,
2024-09-20,AAPL,B,pullback_gate_fail,LONG,,,1.0,59.767965946551804,15.29399433895248,,True,False,
2024-09-23,AAPL,B,pullback_gate_fail,LONG,,,2.0,55.993811402125694,15.081678854079469,,True,False,
2024-09-24,AAPL,B,pullback_gate_fail,LONG,,,3.0,57.36893118547486,14.862592161649353,,True,False,
2024-09-25,AAPL,B,pullback_gate_fail,LONG,,,4.0,55.260089429840896,14.271332205678002,,True,False,
2024-09-26,AAPL,B,pullback_gate_fail,LONG,,,5.0,57.267022535593725,13.953586410218126,,True,False,
2024-09-27,AAPL,B,pullback_gate_fail,LONG,,,6.0,57.369598294483396,13.86297694301187,,True,False,
2024-09-30,AAPL,B,pullback_gate_fail,LONG,,,7.0,64.58154467788736,14.420312744845981,,True,False,
2024-10-01,AAPL,B,pullback_gate_fail,LONG,,,8.0,52.23134495180017,13.566286651011428,,True,False,
2024-10-02,AAPL,B,pullback_gate_fail,LONG,,,9.0,53.05341291572387,12.625281148371952,,True,False,
2024-10-03,AAPL,B,pullback_gate_fail,LONG,,,10.0,51.0925623785471,11.751490324492439,,True,False,
