ts,symbol,combo,event,beta_60
2023-07-21,NVDA,C,beta_gate_fail,2.347188659774076
2023-07-24,NVDA,C,beta_gate_fail,2.3458834078187647
2023-07-25,NVDA,C,beta_gate_fail,2.573355970193434
2023-07-26,NVDA,C,beta_gate_fail,2.5715355419778834
2023-07-27,NVDA,C,beta_gate_fail,2.5876278098011594
2023-07-28,NVDA,C,beta_gate_fail,2.5118346529929862
2023-07-31,NVDA,C,beta_gate_fail,2.511947061344704
2023-08-01,NVDA,C,beta_gate_fail,2.511027684787389
2023-08-02,NVDA,C,beta_gate_fail,2.527916536420631
2023-08-03,NVDA,C,beta_gate_fail,2.523046103817789
2023-08-04,NVDA,C,beta_gate_fail,2.4994090227359194
2023-08-07,NVDA,C,beta_gate_fail,2.5199661488225056
2023-08-08,NVDA,C,beta_gate_fail,2.515466420455188
2023-08-09,NVDA,C,beta_gate_fail,2.556776061046637
2023-08-10,NVDA,C,beta_gate_fail,2.554043315670564
2023-08-11,NVDA,C,beta_gate_fail,2.5813224247056605
2023-08-14,NVDA,C,beta_gate_fail,2.640051516579694
2023-08-15,NVDA,C,beta_gate_fail,2.5834386661170043
2023-08-16,NVDA,C,beta_gate_fail,2.553313740571783
2023-08-17,NVDA,C,beta_gate_fail,2.5175250100604045
2023-08-18,NVDA,C,beta_gate_fail,2.545062585827282
2023-08-21,NVDA,C,beta_gate_fail,2.6373196731843525
2023-08-22,NVDA,C,beta_gate_fail,2.0032955132924735
2023-08-23,NVDA,C,beta_gate_fail,2.1142771843573804
2023-08-24,NVDA,C,beta_gate_fail,1.9396619445437997
2023-08-25,NVDA,C,beta_gate_fail,1.8351318078427192
2023-08-28,NVDA,C,beta_gate_fail,1.789478660322918
2023-08-29,NVDA,C,beta_gate_fail,1.8173168424638118
2023-08-30,NVDA,C,beta_gate_fail,1.8155678734872396
2023-08-31,NVDA,C,beta_gate_fail,1.8121425684881494
2023-09-01,NVDA,C,beta_gate_fail,1.814879665841638
2023-09-05,NVDA,C,beta_gate_fail,1.8113153388109828
2023-09-06,NVDA,C,beta_gate_fail,1.8369681035360597
2023-09-07,NVDA,C,beta_gate_fail,1.8841040620624017
2023-09-08,NVDA,C,beta_gate_fail,1.853907719388126
2023-09-11,NVDA,C,beta_gate_fail,1.7626483678826474
2023-09-12,NVDA,C,beta_gate_fail,1.7939575945593653
2023-09-13,NVDA,C,beta_gate_fail,1.8110370703956236
2023-09-14,NVDA,C,beta_gate_fail,1.8085659670554546
2023-09-15,NVDA,C,beta_gate_fail,1.8394220343104464
2023-09-18,NVDA,C,beta_gate_fail,1.8802579175724028
2023-09-19,NVDA,C,beta_gate_fail,1.8827042901145676
2023-09-20,NVDA,C,beta_gate_fail,1.8611625437271027
2023-09-21,NVDA,C,beta_gate_fail,1.851155145693461
2023-09-22,NVDA,C,beta_gate_fail,1.85992875330556
2023-09-25,NVDA,C,beta_gate_fail,1.862555140428061
2023-09-26,NVDA,C,beta_gate_fail,1.8026729844602918
2023-09-27,NVDA,C,beta_gate_fail,1.807860981942336
2023-09-28,NVDA,C,beta_gate_fail,1.8049805522276485
2023-09-29,NVDA,C,beta_gate_fail,1.8147940957233424
2023-10-02,NVDA,C,beta_gate_fail,1.8405011021052835
2023-10-03,NVDA,C,beta_gate_fail,1.8349967562542522
2023-10-04,NVDA,C,beta_gate_fail,1.8063630773473154
2023-10-05,NVDA,C,beta_gate_fail,1.7748416263640072
2023-10-06,NVDA,C,beta_gate_fail,1.7103472354416172
2023-10-09,NVDA,C,beta_gate_fail,1.6933920828546414
2023-10-10,NVDA,C,beta_gate_fail,1.6864585582497236
2023-10-11,NVDA,C,beta_gate_fail,1.6874174143794751
2023-10-12,NVDA,C,beta_gate_fail,1.68298828409485
2023-10-13,NVDA,C,beta_gate_fail,1.718954792721295
2023-10-16,NVDA,C,beta_gate_fail,1.696724918579737
2023-10-17,NVDA,C,beta_gate_fail,1.7145004828302188
2023-10-18,NVDA,C,beta_gate_fail,1.7357559162243834
2023-10-19,NVDA,C,beta_gate_fail,1.7216920934571682
2023-10-20,NVDA,C,beta_gate_fail,1.7088046150746008
2023-10-23,NVDA,C,beta_gate_fail,1.7703698176187161
2023-10-24,NVDA,C,beta_gate_fail,1.7686915107460641
2023-10-25,NVDA,C,beta_gate_fail,1.7711224029824852
2023-10-26,NVDA,C,beta_gate_fail,1.7502177911120407
2023-10-27,NVDA,C,beta_gate_fail,1.7457066575095164
2023-10-30,NVDA,C,beta_gate_fail,1.7467522649594245
2023-10-31,NVDA,C,beta_gate_fail,1.729481610663005
2023-11-01,NVDA,C,beta_gate_fail,1.7452412032071494
2023-11-02,NVDA,C,beta_gate_fail,1.6959474542347492
2023-11-03,NVDA,C,beta_gate_fail,1.718447014784276
2023-11-06,NVDA,C,beta_gate_fail,1.6991616828281741
2023-11-07,NVDA,C,beta_gate_fail,1.6067024543512163
2023-11-08,NVDA,C,beta_gate_fail,1.639070176636383
2023-11-09,NVDA,C,beta_gate_fail,1.6244083385245325
2023-11-10,NVDA,C,beta_gate_fail,1.624269924603492
2023-11-13,NVDA,C,beta_gate_fail,1.6189233330735993
2023-11-17,NVDA,C,beta_gate_fail,1.553494071102906
2023-11-20,NVDA,C,beta_gate_fail,1.5986310450214878
2023-11-21,NVDA,C,beta_gate_fail,1.5921704941885082
2023-11-22,NVDA,C,beta_gate_fail,1.552450629328294
2023-11-24,NVDA,C,beta_gate_fail,1.5557082026078806
2023-11-27,NVDA,C,beta_gate_fail,1.5532449168519635
2023-11-28,NVDA,C,beta_gate_fail,1.54662756607961
2023-11-29,NVDA,C,beta_gate_fail,1.544667272846605
2023-11-30,NVDA,C,beta_gate_fail,1.532625856592295
2023-12-01,NVDA,C,beta_gate_fail,1.5248755438199024
2023-12-04,NVDA,C,beta_gate_fail,1.5441260847960634
2023-12-05,NVDA,C,beta_gate_fail,1.5941344116042455
2023-12-06,NVDA,C,beta_gate_fail,1.627887295360555
2023-12-07,NVDA,C,beta_gate_fail,1.6260351815284146
2023-12-08,NVDA,C,beta_gate_fail,1.6440781320570979
2023-12-11,NVDA,C,beta_gate_fail,1.5797619449218354
2023-12-12,NVDA,C,beta_gate_fail,1.590816637396105
2023-12-13,NVDA,C,beta_gate_fail,1.5698897893115717
2023-12-14,NVDA,C,beta_gate_fail,1.5503809206284944
2023-12-15,NVDA,C,beta_gate_fail,1.5517525624144295
2023-12-18,NVDA,C,beta_gate_fail,1.564546967661062
2023-12-19,NVDA,C,beta_gate_fail,1.5528963519393841
2023-12-20,NVDA,C,beta_gate_fail,1.6176830986093806
2023-12-21,NVDA,C,beta_gate_fail,1.6164751851205619
2023-12-22,NVDA,C,beta_gate_fail,1.6149801567888384
2023-12-26,NVDA,C,beta_gate_fail,1.6176707962348351
2023-12-27,NVDA,C,beta_gate_fail,1.5994496993052478
2023-12-28,NVDA,C,beta_gate_fail,1.6026459103558637
2023-12-29,NVDA,C,beta_gate_fail,1.612582463723295
2024-01-02,NVDA,C,beta_gate_fail,1.6274036060015764
2024-01-03,NVDA,C,beta_gate_fail,1.6192155908936694
2024-01-04,NVDA,C,beta_gate_fail,1.6110289013734407
2024-01-05,NVDA,C,beta_gate_fail,1.6067612314995758
2024-01-08,NVDA,C,beta_gate_fail,1.6977123134558685
2024-01-09,NVDA,C,beta_gate_fail,1.7066207112584455
2024-01-10,NVDA,C,beta_gate_fail,1.6932176440631563
2024-01-11,NVDA,C,beta_gate_fail,1.7042426846265053
2024-01-12,NVDA,C,beta_gate_fail,1.6700083924403932
