ts,symbol,combo,event,spy_close,spy_ema50,beta_60
2023-04-26,AAPL,C,spy_below_ema50,0.0,0.0,
2023-04-27,AAPL,C,spy_below_ema50,0.0,0.0,
2023-04-28,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-01,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-02,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-03,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-04,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-05,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-08,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-09,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-10,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-11,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-12,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-15,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-16,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-17,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-18,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-19,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-22,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-23,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-24,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-25,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-26,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-30,AAPL,C,spy_below_ema50,0.0,0.0,
2023-05-31,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-01,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-02,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-05,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-06,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-07,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-08,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-09,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-12,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-13,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-14,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-15,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-16,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-20,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-21,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-22,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-23,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-26,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-27,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-28,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-29,AAPL,C,spy_below_ema50,0.0,0.0,
2023-06-30,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-03,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-05,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-06,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-07,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-10,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-11,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-12,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-13,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-14,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-17,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-18,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-19,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-20,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-21,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-24,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-25,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-26,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-27,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-28,AAPL,C,spy_below_ema50,0.0,0.0,
2023-07-31,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-01,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-02,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-03,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-04,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-07,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-08,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-09,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-10,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-11,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-14,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-15,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-16,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-17,AAPL,C,spy_below_ema50,0.0,0.0,
2023-08-18,AAPL,C,spy_below_ema50,436.39,441.4985046578768,
2023-08-21,AAPL,C,spy_below_ema50,439.32,441.413073102666,
2023-08-22,AAPL,C,spy_below_ema50,438.11,441.28354082413006,
2023-08-24,AAPL,C,spy_below_ema50,436.92,441.17634045318584,
2023-08-25,AAPL,C,spy_below_ema50,439.98,441.1294251412962,
2023-09-15,AAPL,C,spy_below_ema50,443.305,443.811691574291,
2023-09-18,AAPL,C,spy_below_ema50,443.63,443.80456641451485,
2023-09-19,AAPL,C,spy_below_ema50,442.62,443.75811282963195,
2023-09-20,AAPL,C,spy_below_ema50,438.52,443.5526966402346,
2023-09-21,AAPL,C,spy_below_ema50,431.3,443.0721987327745,
2023-09-22,AAPL,C,spy_below_ema50,430.28,442.57054388050886,
2023-09-25,AAPL,C,spy_below_ema50,432.23,442.165032355783,
2023-09-26,AAPL,C,spy_below_ema50,425.84,441.5248350084974,
2023-09-27,AAPL,C,spy_below_ema50,425.925,440.91307677287006,
2023-09-28,AAPL,C,spy_below_ema50,428.51,440.42668160530656,
2023-09-29,AAPL,C,spy_below_ema50,427.3,439.9119097776475,
2023-10-02,AAPL,C,spy_below_ema50,427.36,439.41967802166135,
2023-10-03,AAPL,C,spy_below_ema50,421.68,438.7240043737531,
2023-10-04,AAPL,C,spy_below_ema50,424.705,438.174239496351,
2023-10-05,AAPL,C,spy_below_ema50,424.31,437.63054382982745,
2023-10-06,AAPL,C,spy_below_ema50,429.44,437.3093460325793,
2023-10-09,AAPL,C,spy_below_ema50,432.24,437.11054814894874,
2023-10-10,AAPL,C,spy_below_ema50,434.47,437.00699724114685,
