trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,bars_held_at_exit,gross_pnl,commission,net_pnl,net_pnl_pct,won,period,regime_at_entry,spy_adx_at_entry,spy_trending_at_entry,bb_mid_at_entry,entry_to_mid_dist
1,AAPL,C,LONG,2023-10-26,166.77,3.3074020867105194,2023-10-27,167.0384775,0.8164,163.7311,22.73,2271.73,2023-11-02,177.5612,BB_MID,5,8.5903,1.0,7.5903,0.003341,True,all,corrective,28.34,False,175.2275,-8.189
2,AAPL,C,LONG,2024-01-02,185.55,2.9663810599736755,2024-01-03,184.38214499999998,0.7417,181.4158,22.79,2278.32,2024-01-04,181.3251,SL,2,-2.2675,1.0,-3.2675,-0.001434,False,all,trending,48.67,True,194.0133,-9.6311
3,AAPL,C,LONG,2024-01-05,181.09,2.9294785673331525,2024-01-08,182.201055,0.7492,179.2716,22.75,2274.05,2024-01-18,188.6056,BB_MID,8,4.7983,1.0,3.7983,0.00167,True,all,trending,40.75,True,192.6163,-10.4152
4,AAPL,C,LONG,2024-03-04,175.09,3.202866059723607,2024-03-05,170.8854,0.7998,167.6825,22.78,2276.85,2024-03-18,173.5932,TIME,10,2.1656,1.0,1.1656,0.000512,True,all,trending,31.12,True,183.878,-12.9926
5,AAPL,C,LONG,2024-08-05,209.23,6.683648394637923,2024-08-06,205.48269,0.6652,198.799,22.78,2277.01,2024-08-13,221.0994,BB_MID,6,10.3878,1.0,9.3878,0.004123,True,all,corrective,37.26,False,223.8065,-18.3238
6,AAPL,C,LONG,2024-09-16,216.46,4.905253523568064,2024-09-17,215.85787499999998,0.6355,210.9526,22.86,2285.4,2024-09-19,228.7905,BB_MID,3,8.2191,1.0,7.2191,0.003159,True,all,corrective,16.82,False,224.1337,-8.2759
7,AAPL,C,LONG,2024-11-04,222.07,4.096847052959894,2024-11-05,221.92090499999998,0.6198,217.8241,22.93,2291.62,2024-11-18,228.0459,BB_MID,10,3.7966,1.0,2.7966,0.00122,True,all,corrective,23.13,False,230.4417,-8.5208
8,AAPL,C,LONG,2025-01-10,236.76,4.5730316250351075,2025-01-13,233.63676,0.5892,229.0637,22.94,2293.42,2025-01-16,228.9492,SL,4,-2.762,1.0,-3.762,-0.00164,False,all,corrective,27.07,False,249.1595,-15.5227
9,AAPL,C,LONG,2025-03-11,220.92,6.860387440697346,2025-03-12,220.29009,0.6236,213.4297,22.9,2288.66,2025-03-13,213.323,SL,2,-4.3449,1.0,-5.3449,-0.002335,False,all,corrective,27.06,False,239.1335,-18.8434
10,AAPL,C,LONG,2025-04-03,203.01,6.918976450773808,2025-04-04,194.0219625,0.7061,187.103,22.83,2282.31,2025-04-04,189.1903,ACCEL_SL,1,-3.4117,1.0,-4.4117,-0.001933,False,all,corrective,29.9,False,219.4495,-25.4275
11,AAPL,C,LONG,2025-04-07,181.58,8.393913368269255,2025-04-08,186.79334999999998,0.7317,178.3994,22.78,2276.9,2025-04-08,178.3102,SL,1,-6.207,1.0,-7.207,-0.003165,False,all,corrective,34.63,False,214.236,-27.4427
12,AAPL,C,LONG,2025-08-01,202.3,4.031179930041358,2025-08-04,204.6072525,0.6656,200.5761,22.7,2268.69,2025-08-06,213.1684,BB_MID,3,5.6981,1.0,4.6981,0.002071,True,all,trending,30.34,True,210.8512,-6.244
13,AAPL,C,LONG,2026-01-05,267.175,4.295325676587658,2026-01-06,267.10348500000003,0.5107,262.8082,22.73,2272.39,2026-01-06,262.6768,SL,1,-2.2606,1.0,-3.2606,-0.001435,False,all,corrective,11.86,False,274.1595,-7.056
14,AAPL,C,LONG,2026-01-07,260.35,4.332245098690379,2026-01-08,257.14851,0.5295,252.8163,22.69,2268.13,2026-01-20,252.6899,SL,8,-2.3606,1.0,-3.3606,-0.001482,False,all,corrective,11.44,False,272.4493,-15.3007
15,AAPL,C,LONG,2026-03-13,250.035,6.044062395895374,2026-03-16,251.91589499999998,0.5394,245.8718,22.65,2263.77,2026-03-19,249.0354,EOB,4,-1.5538,1.0,-2.5538,-0.001128,False,all,corrective,26.14,False,262.74,-10.8241
1,GLD,C,LONG,2023-09-27,174.09,1.2929064240386452,2023-09-28,174.02696999999998,0.7836,172.7341,22.73,2271.73,2023-09-28,172.6477,SL,1,-1.0808,1.0,-2.0808,-0.000916,False,all,corrective,22.36,False,178.2145,-4.1875
2,GLD,C,LONG,2023-09-29,171.46,1.4214346207272008,2023-10-02,170.21506499999998,0.8,168.7936,22.7,2268.65,2023-10-02,169.8949,ACCEL_SL,1,-0.2561,1.0,-1.2561,-0.000554,False,all,corrective,24.21,False,177.4323,-7.2172
3,GLD,C,LONG,2023-10-03,169.16,1.4428186270555972,2023-10-04,169.30461,0.8035,167.8618,22.67,2266.39,2023-10-13,178.7456,BB_MID,8,7.5862,1.0,6.5862,0.002906,True,all,corrective,26.37,False,176.4347,-7.1301
4,GLD,C,LONG,2024-02-13,184.565,1.651506094147139,2024-02-14,184.34212499999998,0.7398,182.6906,22.73,2271.98,2024-02-20,187.3863,BB_MID,4,2.2521,1.0,1.2521,0.000551,True,all,trending,33.81,True,187.6672,-3.3251
5,GLD,C,LONG,2024-11-12,240.04,3.093334469232831,2024-11-13,241.430655,0.5649,238.3373,22.73,2272.23,2024-11-13,238.2182,SL,1,-1.8149,1.0,-2.8149,-0.001239,False,all,corrective,24.79,False,250.6873,-9.2566
6,GLD,C,LONG,2024-11-14,237.03,3.0468037005119797,2024-11-15,237.63876,0.573,234.592,22.69,2268.41,2024-11-22,249.7501,BB_MID,6,6.9397,1.0,5.9397,0.002618,True,all,corrective,24.66,False,249.6352,-11.9965
7,GLD,C,LONG,2024-12-18,239.29,2.868882061012443,2024-12-19,239.70979499999999,0.5693,236.8409,22.74,2273.35,2025-01-02,245.3373,BB_MID,9,3.2036,1.0,2.2036,0.000969,True,all,corrective,22.74,False,244.9055,-5.1957
8,GLD,C,LONG,2025-06-27,301.25,4.236589490874661,2025-06-30,302.53619249999997,0.4513,298.2996,22.76,2274.56,2025-07-02,309.1004,BB_MID,3,2.9624,1.0,1.9624,0.000863,True,all,corrective,16.01,False,308.8082,-6.2721
9,GLD,C,LONG,2025-07-30,301.04,3.604982381223291,2025-07-31,304.74229499999996,0.4482,301.1373,22.77,2275.52,2025-08-01,308.9854,BB_MID,2,1.9019,1.0,0.9019,0.000396,True,all,trending,32.37,True,307.9745,-3.2322
10,GLD,C,LONG,2026-03-18,444.82,10.64759047509843,2026-03-19,420.4951425,0.3248,409.8476,22.76,2275.42,2026-03-19,427.0941,ACCEL_SL,1,2.1435,1.0,1.1435,0.000503,True,all,corrective,30.59,False,470.3708,-49.8756
1,IWM,C,LONG,2023-09-21,177.09,2.610108923032086,2023-09-22,177.698805,0.7674,175.0887,22.73,2271.73,2023-09-26,175.0012,SL,3,-2.0701,1.0,-3.0701,-0.001351,False,all,corrective,14.82,False,184.6265,-6.9277
