trade_id,symbol,combo,direction,signal_bar,signal_close,atr_at_signal,entry_bar,entry_price,shares,stop_loss,risk_amount,equity_at_entry,exit_bar,exit_price,exit_reason,gross_pnl,commission,net_pnl,net_pnl_pct,won,period
1,NVDA,A,SHORT,2024-04-22 15:30:00-04:00,832.419993678505,7.005565050074616,2024-04-22 15:45:00-04:00,832.0037836816657,1.5024,839.0093,50.0,4999.0,2024-04-22 15:45:00-04:00,830.8008,EOD,1.8073,1.0,0.8073,0.000161,True,all
2,NVDA,A,SHORT,2024-04-24 11:15:00-04:00,802.0921610527788,6.710945190837347,2024-04-24 11:30:00-04:00,801.6911149722524,1.5591,808.4021,50.0,4998.81,2024-04-24 11:30:00-04:00,808.8063,SL,-11.0935,1.0,-12.0935,-0.002419,False,all
3,NVDA,A,LONG,2024-05-28 09:45:00-04:00,874.8476337898816,6.6157822099472225,2024-05-28 10:00:00-04:00,875.2850576067765,1.4243,868.6693,49.87,4985.71,2024-05-28 10:00:00-04:00,868.2349,SL,-10.0416,1.0,-11.0416,-0.002215,False,all
4,NVDA,A,LONG,2024-05-28 14:30:00-04:00,902.9906936002329,7.333660788796043,2024-05-28 14:45:00-04:00,903.442188947033,1.3766,896.1085,49.75,4973.67,2024-05-28 15:00:00-04:00,895.6605,SL,-10.7122,1.0,-11.7122,-0.002355,False,all
5,NVDA,A,LONG,2024-05-31 11:30:00-04:00,930.4137896027659,6.667319463379406,2024-05-31 11:45:00-04:00,930.8789964975672,1.3326,924.2117,49.62,4960.96,2024-05-31 13:00:00-04:00,943.7408,TP,17.1396,1.0,16.1396,0.003253,True,all
6,NVDA,A,LONG,2024-06-13 14:00:00-04:00,1048.5514387152446,8.486818345323504,2024-06-13 14:15:00-04:00,1049.075714434602,1.1861,1040.5889,49.77,4976.1,2024-06-13 15:45:00-04:00,1061.5346,EOD,14.777,1.0,13.777,0.002769,True,all
7,NVDA,A,LONG,2024-06-17 14:45:00-04:00,1058.4991168082925,8.203188946749403,2024-06-17 15:00:00-04:00,1059.0283663666964,1.1779,1050.8252,49.9,4988.88,2024-06-17 15:00:00-04:00,1050.2998,SL,-10.2817,1.0,-11.2817,-0.002261,False,all
8,NVDA,A,SHORT,2024-06-24 10:00:00-04:00,998.8995066384398,7.1751648976239055,2024-06-24 10:15:00-04:00,998.4000568851206,1.2464,1005.5752,49.78,4976.59,2024-06-24 11:15:00-04:00,1006.078,SL,-9.5697,1.0,-10.5697,-0.002124,False,all
9,NVDA,A,LONG,2024-07-08 13:45:00-04:00,1318.4763693256045,10.203190854663546,2024-07-08 14:00:00-04:00,1319.1356075102672,0.9412,1308.9324,49.66,4965.03,2024-07-08 14:30:00-04:00,1308.278,SL,-10.2187,1.0,-11.2187,-0.00226,False,all
10,NVDA,A,LONG,2024-07-09 15:15:00-04:00,1349.3673451640577,10.29945286830954,2024-07-09 15:30:00-04:00,1350.0420288366397,0.9173,1339.7426,49.54,4952.81,2024-07-09 15:45:00-04:00,1354.4288,EOD,4.0242,1.0,3.0242,0.000611,True,all
11,NVDA,A,LONG,2024-07-10 14:45:00-04:00,1407.9950872162105,10.778789258383286,2024-07-10 15:00:00-04:00,1408.6990847598186,0.8795,1397.9203,49.56,4954.83,2024-07-10 15:00:00-04:00,1397.2213,SL,-10.0947,1.0,-11.0947,-0.002239,False,all
