date,macd,signal,histogram,rsi,bb_upper,bb_lower,bb_mid,atr,entry_price,current_price,prev_close,close_range,volume,price_momentum,direction,signals,won,pnl_pct
2025-01-22,"Ticker
IONQ   -0.043886
Name: 2025-01-22 19:30:00+00:00, dtype: float64","Ticker
IONQ   -0.045343
Name: 2025-01-22 19:30:00+00:00, dtype: float64","Ticker
IONQ    0.001457
Name: 2025-01-22 19:30:00+00:00, dtype: float64",24.090827121904297,"Ticker
IONQ    43.692881
dtype: float64","Ticker
IONQ    40.432119
dtype: float64","Ticker
IONQ    42.0625
dtype: float64",3.159900665283203,"Ticker
IONQ    43.669998
Name: 2025-01-22 14:30:00+00:00, dtype: float64","Ticker
IONQ    41.959999
Name: 2025-01-22 19:30:00+00:00, dtype: float64","Ticker
IONQ    41.740002
Name: 2025-01-22 18:30:00+00:00, dtype: float64","Ticker
IONQ    2.304996
dtype: float64","Ticker
IONQ    23525704
dtype: int64","Ticker
IONQ   -0.039157
dtype: float64",BUY,"MACD_BULLISH,RSI_OVERSOLD,BB_LOWER_HALF",False,-3.915729691256717
2025-02-03,"Ticker
IONQ    0.16136
Name: 2025-02-03 19:30:00+00:00, dtype: float64","Ticker
IONQ    0.097266
Name: 2025-02-03 19:30:00+00:00, dtype: float64","Ticker
IONQ    0.064094
Name: 2025-02-03 19:30:00+00:00, dtype: float64",0.0,"Ticker
IONQ    43.070693
dtype: float64","Ticker
IONQ    38.03664
dtype: float64","Ticker
IONQ    40.553666
dtype: float64",1.6200027465820312,"Ticker
IONQ    38.59
Name: 2025-02-03 14:30:00+00:00, dtype: float64","Ticker
IONQ    42.019501
Name: 2025-02-03 19:30:00+00:00, dtype: float64","Ticker
IONQ    41.349998
Name: 2025-02-03 18:30:00+00:00, dtype: float64","Ticker
IONQ    3.429501
dtype: float64","Ticker
IONQ    14400864
dtype: int64","Ticker
IONQ    0.08887
dtype: float64",BUY,"MACD_BULLISH,RSI_OVERSOLD,BB_UPPER_HALF",True,8.887018829420757
2025-04-14,"Ticker
IONQ   -0.035757
Name: 2025-04-14 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.039927
Name: 2025-04-14 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.00417
Name: 2025-04-14 18:30:00+00:00, dtype: float64",27.193564220128565,"Ticker
IONQ    26.642831
dtype: float64","Ticker
IONQ    24.197136
dtype: float64","Ticker
IONQ    25.419984
dtype: float64",2.065000534057617,"Ticker
IONQ    26.530001
Name: 2025-04-14 13:30:00+00:00, dtype: float64","Ticker
IONQ    25.439899
Name: 2025-04-14 18:30:00+00:00, dtype: float64","Ticker
IONQ    25.15
Name: 2025-04-14 17:30:00+00:00, dtype: float64","Ticker
IONQ    1.74
dtype: float64","Ticker
IONQ    17368124
dtype: int64","Ticker
IONQ   -0.041089
dtype: float64",BUY,"MACD_BULLISH,RSI_OVERSOLD,BB_UPPER_HALF",False,-4.108937858468121
2025-04-23,"Ticker
IONQ   -0.010843
Name: 2025-04-23 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.011852
Name: 2025-04-23 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.00101
Name: 2025-04-23 18:30:00+00:00, dtype: float64",30.271728417756137,"Ticker
IONQ    27.501024
dtype: float64","Ticker
IONQ    26.271709
dtype: float64","Ticker
IONQ    26.886367
dtype: float64",1.201700210571289,"Ticker
IONQ    27.4
Name: 2025-04-23 13:30:00+00:00, dtype: float64","Ticker
IONQ    26.7204
Name: 2025-04-23 18:30:00+00:00, dtype: float64","Ticker
IONQ    27.1014
Name: 2025-04-23 17:30:00+00:00, dtype: float64","Ticker
IONQ    0.82
dtype: float64","Ticker
IONQ    12905166
dtype: int64","Ticker
IONQ   -0.024803
dtype: float64",BUY,"MACD_BULLISH,BB_LOWER",False,-2.4802911365855858
2025-05-02,"Ticker
IONQ    0.038428
Name: 2025-05-02 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.026321
Name: 2025-05-02 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.012107
Name: 2025-05-02 18:30:00+00:00, dtype: float64",0.0,"Ticker
IONQ    31.451673
dtype: float64","Ticker
IONQ    30.118093
dtype: float64","Ticker
IONQ    30.784883
dtype: float64",2.6200008392333984,"Ticker
IONQ    30.215
Name: 2025-05-02 13:30:00+00:00, dtype: float64","Ticker
IONQ    31.059999
Name: 2025-05-02 18:30:00+00:00, dtype: float64","Ticker
IONQ    31.0168
Name: 2025-05-02 17:30:00+00:00, dtype: float64","Ticker
IONQ    0.844999
dtype: float64","Ticker
IONQ    21235150
dtype: int64","Ticker
IONQ    0.027966
dtype: float64",BUY,"MACD_BULLISH,RSI_OVERSOLD,BB_UPPER",True,2.796621906626463
2025-05-05,"Ticker
IONQ   -0.003732
Name: 2025-05-05 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.003378
Name: 2025-05-05 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.007109
Name: 2025-05-05 18:30:00+00:00, dtype: float64",48.132776799041416,"Ticker
IONQ    30.513067
dtype: float64","Ticker
IONQ    29.850266
dtype: float64","Ticker
IONQ    30.181667
dtype: float64",1.219900131225586,"Ticker
IONQ    30.030001
Name: 2025-05-05 13:30:00+00:00, dtype: float64","Ticker
IONQ    29.985001
Name: 2025-05-05 18:30:00+00:00, dtype: float64","Ticker
IONQ    30.275
Name: 2025-05-05 17:30:00+00:00, dtype: float64","Ticker
IONQ    0.389999
dtype: float64","Ticker
IONQ    7926464
dtype: int64","Ticker
IONQ   -0.001499
dtype: float64",SELL,"MACD_BEARISH,RSI_NEUTRAL,BB_UPPER",True,0.1498504004828647
2025-05-20,"Ticker
IONQ   -0.013379
Name: 2025-05-20 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.005332
Name: 2025-05-20 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.008047
Name: 2025-05-20 18:30:00+00:00, dtype: float64",55.27481302462716,"Ticker
IONQ    35.778177
dtype: float64","Ticker
IONQ    34.595555
dtype: float64","Ticker
IONQ    35.186866
dtype: float64",1.7999000549316406,"Ticker
IONQ    35.055
Name: 2025-05-20 13:30:00+00:00, dtype: float64","Ticker
IONQ    35.244999
Name: 2025-05-20 18:30:00+00:00, dtype: float64","Ticker
IONQ    34.6745
Name: 2025-05-20 17:30:00+00:00, dtype: float64","Ticker
IONQ    0.8055
dtype: float64","Ticker
IONQ    15565559
dtype: int64","Ticker
IONQ    0.00542
dtype: float64",SELL,"MACD_BEARISH,RSI_NEUTRAL,BB_UPPER",False,-0.5420014978032437
2025-05-28,"Ticker
IONQ    0.136095
Name: 2025-05-28 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.077951
Name: 2025-05-28 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.058143
Name: 2025-05-28 18:30:00+00:00, dtype: float64",0.0,"Ticker
IONQ    49.004486
dtype: float64","Ticker
IONQ    44.90008
dtype: float64","Ticker
IONQ    46.952283
dtype: float64",2.4098968505859375,"Ticker
IONQ    45.439999
Name: 2025-05-28 13:30:00+00:00, dtype: float64","Ticker
IONQ    48.139999
Name: 2025-05-28 18:30:00+00:00, dtype: float64","Ticker
IONQ    47.940899
Name: 2025-05-28 17:30:00+00:00, dtype: float64","Ticker
IONQ    2.700001
dtype: float64","Ticker
IONQ    24972644
dtype: int64","Ticker
IONQ    0.059419
dtype: float64",BUY,"MACD_BULLISH,RSI_OVERSOLD,BB_UPPER",True,5.941903267031419
2025-06-02,"Ticker
IONQ    0.083241
Name: 2025-06-02 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.037102
Name: 2025-06-02 18:30:00+00:00, dtype: float64","Ticker
IONQ    0.046139
Name: 2025-06-02 18:30:00+00:00, dtype: float64",0.0,"Ticker
IONQ    40.998922
dtype: float64","Ticker
IONQ    38.499144
dtype: float64","Ticker
IONQ    39.749033
dtype: float64",2.720001220703125,"Ticker
IONQ    39.209999
Name: 2025-06-02 13:30:00+00:00, dtype: float64","Ticker
IONQ    40.630001
Name: 2025-06-02 18:30:00+00:00, dtype: float64","Ticker
IONQ    40.439999
Name: 2025-06-02 17:30:00+00:00, dtype: float64","Ticker
IONQ    1.420002
dtype: float64","Ticker
IONQ    12841663
dtype: int64","Ticker
IONQ    0.036215
dtype: float64",BUY,"MACD_BULLISH,RSI_OVERSOLD,BB_UPPER",True,3.621530264725014
2025-06-03,"Ticker
IONQ   -0.018775
Name: 2025-06-03 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.012833
Name: 2025-06-03 18:30:00+00:00, dtype: float64","Ticker
IONQ   -0.005942
Name: 2025-06-03 18:30:00+00:00, dtype: float64",31.391149985965598,"Ticker
IONQ    40.720538
dtype: float64","Ticker
IONQ    39.954697
dtype: float64","Ticker
IONQ    40.337617
dtype: float64",2.3899993896484375,"Ticker
IONQ    40.639999
Name: 2025-06-03 13:30:00+00:00, dtype: float64","Ticker
IONQ    40.265701
Name: 2025-06-03 18:30:00+00:00, dtype: float64","Ticker
IONQ    40.060001
Name: 2025-06-03 17:30:00+00:00, dtype: float64","Ticker
IONQ    0.579998
dtype: float64","Ticker
IONQ    10321361
dtype: int64","Ticker
IONQ   -0.00921
dtype: float64",SELL,"MACD_BEARISH,BB_UPPER",True,0.9210091075898584
