start	end	text
0	20720	Alright folks, how are you doing, I hope everybody is doing well and this is just a kind of like
20720	28240	a prep to get your mindset correct on what's coming in two days on the YouTube channel.
28240	35640	I want you to understand going forward that obviously you all are familiar with my moniker,
35640	41360	I've dubbed myself the demo baller and I've always talked through the medium of a demo
41360	48160	account for my own protection and I've had students come into my fold and question whether
48160	53640	or not it was something that could work in live accounts because they themselves couldn't
53640	60320	make it work in either a demo or paper trading because either they could not find it in themselves
60320	66120	to submit to the process and the time required for their own individual development or they
66120	74160	rushed and did things foolishly outside of the instructions that I provide in mentoring.
74160	82200	So there's a small faction of individuals on the internet that believe that these things
82680	90200	don't work in a live account and it's never really been an interest in me really to see
90200	97960	people fall over me and believe everything I say. I've challenged everyone to put the
97960	103720	things I teach to test, see if the things I'm teaching you are in fact in the marketplace,
103720	111120	do they deliver more times than not, does it provide you a way of finding consistency
111280	115760	over a week, not every single day perfection because I can't provide that, I don't even
115760	120880	trade perfectly like that. A new trader can, a new teacher can provide 100% accuracy.
122080	128960	But the way I teach and the way you'll see me mentoring on this channel in two days is I take
128960	136880	the yearners. All of you that are not trading yet or have tried trading and failed, you're
136880	142800	yearning to learn how to do this. So I'm teaching with that mindset. Now some of you
142800	147200	obviously may have already been with me and found some consistency and some of you are
147200	151120	doing exceedingly well and that's amazing, that's great and I'm thankful for all of that.
151920	161120	But this is really meant for, specifically, it's for my daughter. So I sat down and figured
161120	168000	I killed two birds with one stone and if I can show a simplistic way of going in using the things
168000	176800	that I teach, stripping it down to its chrome, okay, no bells and whistles, no advanced theories
176800	184320	or anything like that, what can I do to provide a model that my daughter could look at and say,
184320	188400	okay, there's not a lot of moving parts, it's real simple for me to decide what it is I want to do
188400	196560	and also when not to do something, okay. And some of you may already be completely upset with that
196560	203280	idea because you want me to come out here and lay an arsenal in your hands of high-tech weaponry.
205760	211920	It's been my experience that the highest form of analysis concepts that I've been teaching in my
212080	220000	personal mentorship many times creates exceptional traders, yes, but the majority of them,
221120	227520	and them being my students, they get bogged down in all of the content and it just creates
228480	233120	analysis paralysis and it's just too many things for them to decide because, like a kid in a candy
233120	238000	store, what do you eat first and while you're still chewing on the first thing, what are you
238000	243360	going to reach for next, okay. So if you don't have discipline and this is a personal responsibility
243360	250960	characteristic that all of you are going to have to really assume, okay, because I can lay the
250960	258880	things in your hands, but if you don't respect the fact that they have sharp edges, okay, or
260080	266320	if you use live ammunition before you're really properly trained, you could hurt yourself, okay.
