start	end	text
0	18760	All right, folks, welcome back.
18760	22720	This is our 27th episode of the continuing series
22720	28120	of the free 2022 ICT Mentorship on YouTube.
28120	33600	All right, so Mastec Daily Chart for June 2022.
33600	38400	And here we have Friday's trading here, OK?
38400	40240	Friday, Thursday, Wednesday, Tuesday, Monday.
40240	43240	So we had a nice little decline down in this week.
43240	46760	And then Friday, we have somewhat of a retracement.
46760	49960	If you've been following my community posts on the YouTube
49960	56720	channel, I mentioned this morning that the 12,553 level
56720	58360	is too clean.
58360	61200	And you can kind of see it in here.
61200	62960	Look at the high on this candle.
62960	65120	It's 12,547.
65120	69840	And then here, this high is 12,553.
69840	72200	So I'm using this as the higher one.
72200	73600	But these are relative equal highs.
73600	75320	That's what I'm looking at.
75320	79000	So I'm thinking that it could draw there.
79000	82000	Now, I was given the opportunity to do so today
82000	84800	based on what I showed in the short little vignettes
84800	88720	I posted on my video section.
88720	90120	I was out and about today.
90120	93720	So obviously, I was sharing what I could on my phone.
93720	97440	I don't generally trade on the phone.
97440	99080	I can manage a position.
99080	102520	But I'm not generally trying to enter trades and such.
102520	106080	But I made a mistake today.
106080	107440	And I was trying to exit, as I'll
107440	109840	talk about in a moment when we get into lower time frames.
109840	114040	But I was showing segments of me recording
114040	115400	where the market was, what it was doing
115400	116640	when I was entering the whole business.
116640	118280	And you'll actually see the execution errors
118280	119800	in all that business here tonight.
119800	124800	But the relative equal highs, that was the draw on liquidity.
124800	126240	Now, the draw on liquidity does not
126240	132400	need to be traded to have a profitable framework or setup.
132400	134120	So what do I mean by that?
134120	137400	Well, if we're below this objective,
137400	140360	and I'm thinking, and you're thinking the same thing,
140360	142200	if you think that the market is going to draw up
142200	146080	to that level, whether it be today or into next week,
146080	148600	you look for a setup that will allow you
148600	154080	some kind of participation in this expansion towards that.
154080	157640	It doesn't need to get there, as you'll soon see.
157640	161080	We're going to drop down into the hourly chart.
161080	162160	So here's the hourly chart.
162160	165080	You can see relative equal highs up in here.
165080	166840	Look at the high on that candle there.
166840	169880	That's the 12,553 and a quarter level.
169880	172240	So that's what I'm framing it on.
172240	177680	And we traded down, started to run higher.
177680	179840	We had a shift in market structure here.
179840	188680	And then just notice how we have had this low, this low swept.
188680	191520	We came down below it, came back above.
191520	193400	These were all to the equal lows.
193400	195320	And then we came back down, tried one more time
195320	197080	to go lower, and then rejected it.
197080	198400	Notice that?
198440	201080	So as the market's starting to trade higher,
201080	202440	where is it likely to go?
202440	205000	Well, we've already taken out a large pool of liquidity
205000	207520	below these relative equal lows.
207520	210240	This is sell side.
210240	212920	Now we're back above these relative equal lows.
212920	214200	So where's buy side?
214200	217240	Clear and obviously right here.
217240	220960	Not really obvious in terms of any imbalance in here,
220960	223760	because we already rebalanced this area there.
223760	225600	So there's nothing really all that exciting
225600	227480	except for that small little section there.
227480	229400	So if it's going to go up to this area here,
229400	232680	my thought process is that it's likely to just punch through
232680	235040	and take the buy stops resting above here.
235040	237160	So that's the draw on liquidity.
237160	239080	Just think of it like a big magnet,
239080	242240	drawing price up towards it.
242240	246280	So we're going to drop down into a 15-minute time frame.
255000	256840	So here's a 15-minute time frame.
256840	258920	And here's Friday the 13th.
258920	260960	You scared?
260960	261720	I ain't scared.
261720	265400	So we have the market trade here, lower, low, low.
265400	268120	So this right here may trip you up.
268120	270520	But this right here was the 930 in the morning manipulation,
270520	273560	where it takes out this overnight London low,
273560	277000	creates the manipulation idea, then rallies.
277000	279160	I was not available during this time,
279160	280280	so I didn't take any trades.
280280	283200	As you'll see, there's no trades in this area.
283200	285280	And then the retracement in here in the afternoon,
285280	287040	that's what I was looking for.
287040	290160	So I wanted to see that type of idea.
290160	295520	So I'm going to add the annotations to the chart now.
295520	298480	All right, so here's the 5-minute chart.
298480	302000	Here's the overnight London lows.
