start	end	text
0	10760	All right, folks, welcome back.
10760	17200	All right, so we're looking at the S&P futures contract for June 2022.
17200	20520	On the left-hand side, you can see that we have a daily chart.
20520	22000	And on the right-hand side, it's a one-hour chart.
22000	29120	So I'm only going to do this to save time, also bring your attention to levels that are
29120	33760	sensitive on one time frame, higher time frame, and how it's subordinate on the lower time
33760	35640	frame to those higher time frame levels.
35640	41120	If you don't know what I'm referring to, obviously you'll understand more as we go through.
41120	50080	All right, so this morning I had a short little video that I posted about how we had recently
50080	53440	been in this trading range in here.
53440	58480	And if we were to start to move higher and had displacement to the upside, this could
58480	61000	have been a draw on liquidity.
61000	66320	This is the objective I was looking for near term, if we were to break higher.
66320	72520	We had news this morning and unemployment data, which obviously, you know, given the
72520	79000	state of affairs at present, it's a heavy weight around the neck of the markets.
79000	82840	So we had to move lower.
83040	90040	Prior to the opening at 9.30, I talked about how until we had some kind of displacement,
90040	93520	I wasn't really excited about doing much in the marketplace.
93520	104400	I felt that 40.70 was a nice draw on liquidity, which would be below the draw to equal those.
104400	112400	I posted that obviously before 9.30 a.m., so it gave you a target, okay, or my bias.
112400	113400	So I'm thinking what?
113400	120400	If I'm pointing down here before 9.30, am I suggesting that we're going to go up here
120400	122400	or here or here?
122400	123680	No.
123680	127680	So I'm looking for evidence to support the idea that a run below these relative equal
127680	129760	lows is warranted.
129760	139040	I also stated if we went below those lows, that we would draw into that fair value cap.
139040	143120	Now, with the benefit of hindsight, obviously, when I'm talking to folks that have not been
143120	151000	with me or they watched only post-production or post-market reviews or things like that,
151000	155920	it sounds like hindsight, but I assure you, the folks over there on Twitter, and it's
155920	162240	time and date stamped, I don't delete any tweet, and if it's a typo, it stays, okay?
162240	166720	And in my age and my eyes failing like they are, it's probably going to be a reoccurring
166720	172640	theme over there that I typed something correctly, but I'm not sweeping anything under the rug.
172640	174360	I'm not trying to hide anything from you.
174360	179840	I came out in video, explained that I would be more interested in seeing this level down
179840	184840	in here, and if we did, we would draw into this area here.
184840	188040	Now, that is suggesting several things.
188040	192920	Number one, we're expecting the volatility, or I'm expecting the volatility to be significant
192920	198400	enough to take us below these lows, and if that was to occur, then we're going to draw
198400	200720	all the way down into here, which means what?
200720	206160	We're going to have a small range day on the daily chart or a large range day.
206160	209440	Clearly, a large range day.
209440	216760	So there was a lot of things that I laid in your hands this morning that hopefully give
216760	219920	you hope that these things are predictable.
220920	223240	Obviously, I'm not without imperfections.
223240	230160	Yesterday, I mapped out an idea on Twitter and engaged, and I took a loss.
230160	236640	It was a five-point loss, it was not a significant loss, and in fact, I called a level later
236640	241320	in the afternoon how I could have easily gained that back.
241320	246160	Now, when I say those things, understand the premise.
246160	248960	Okay, why am I saying it?
249000	252200	Am I saying it to beat my chest and sound egotistical?
252200	254200	No.
254200	258960	I wanted everyone to see what it's like, even if I do something wrong, and I don't rush
258960	265720	out there to try to fix it, okay, because that's going to be your initial response to
265720	271240	you taking a losing trade in your demo account, or worst-case scenario, rush into trading
271240	274160	live funds when none of you are ready to do that yet.
274160	277480	Now, I understand there's traders in here that are watching the videos, and you're probably
277640	278800	profitable.
278800	282280	When I say that you shouldn't be trading with live funds, you shouldn't be trading with
282280	289800	live funds with these concepts because you're still learning them, which I'll end this video
289800	294360	with a request from all of you so you guys can let me know in the comments section what
294360	295920	you would like to see going forward.
295920	301920	I have a suggestion, and you guys are open to give me input on that, and you as a community
301920	303920	will let me know what it is that we're going to be doing.
308120	313680	All right, so on the daily chart to the left, you can see we have those relative equal lows
313680	314680	I mentioned.
314680	317720	The draw on liquidity was there, so I was focusing what?
317720	321600	Sell side, or I had a bearish bias.
321600	326240	I gave conditions that if we went below there, it's not going to go down there and go up.
326240	328920	It's going to go down into this area here.
328920	336160	So with those levels transposed over to the hourly chart now, this level here is this
336160	338840	level on the daily chart.
338840	341600	This level down here is this level.
341600	345680	Now obviously, some of you are like, that's pretty obvious, but you'd be surprised how
345680	349260	many new students I have, and they get lost in the time frames.
349260	353040	So whatever you're doing in your higher time frame, you want to start your annotations
353040	354560	there, but keep them simple.
354560	359720	You want to see a level that it's going to draw to, or what key levels that may be a
359720	366200	factor for changing or suggesting a bias is in play.
366200	369920	As I did this morning, I said, I believe we're going to go down below here.
369920	372240	I thought that's likely to occur.
372240	376840	And if that does happen, we're drawing into this area here, not just going below relative
376840	377840	equal lows to go higher.
377840	380600	Because there's a lot of people all around the world that are being exposed to my content,
380600	385480	whether it be directly from me or someone that's learned my concepts and have tried
385480	392320	to create something new with a twist of their own, they're teaching that it's always a
392320	396600	relative equal low or equal lows to hit those and then go the other way.
396600	398600	That's not the case.
398600	403520	Narrative must be understood, and narrative, unfortunately, requires experience, and experience
403520	406600	is what I'm lending you.
406600	411520	So when I'm talking to you or if I'm pointing to something, I'm lending my three decades
411520	412640	of experience doing it.
412640	417360	That way, you can hopefully grow faster, but I'm not trying to rush you along.
417360	422640	But it's easier for a student to be engaged when they're shown something, to anticipate
422640	427200	something, and then they have the benefit and enjoyment of watching it pan out in their
427200	432200	own charts, which I think that's the epiphany that every student under me and I guess anyone
432200	437040	else when they have that moment of astonishment where it delivers as they're expecting or
437040	441520	hoping to see happen, it feels like they're in alignment with the marketplace, which is
441520	449320	many times not the case for retail traders and new traders or long term struggling traders
449320	454960	that are breakeven, they just can't find their footing and can't be profitable.
454960	460820	It's a wonderful feeling and I know once you have that moment, you'll want to dig deeper
460820	462560	and that inspires me as a mentor too.
462560	468120	So if you watch this pan out today and you expected it based on being in the community
468120	473640	and audience members this morning before the market opened up with my commentary, give
473640	477440	me a heads up in the comment section and what was it like to watch it unfold.
477440	483800	So over here on the hourly chart, we had a fair value gap here, swing low, we had displacement,
483800	490280	we consolidated going into midnight last night, New York time, it rallied up, traded into
490280	494240	a fair value gap here and up into the bearish order block.
494240	500560	So we have this order block, it touches it, you can take that trade but I'm trying to
500560	506680	draw your attention to these areas here, where there's three candles, one candle in the middle
506680	512560	that has an exposed area that is not overlapped with the previous candles low, immediate candle
512560	514160	to the right of it.
514160	518960	So there's that little section that we call a fair value gap.
518960	521960	Price goes above it, hits the order block but look at the candles.
521960	528480	See how the candles' bodies stay predominantly in between these two levels here?
528480	535000	So yeah, there's a wick and there's a wick but largely the volume is encapsulated in
535000	538480	between these two levels.
538480	544600	I drew your attention here, I mentioned how we would likely go below those lows and then
544600	545680	we have an old low back here.
545680	552480	So even if you weren't looking at my commentary or watching it, this framework here then running
552480	557360	to that low is something that you should have identified but if you didn't it's okay, you'll
557360	559520	get it in time.
559520	564320	This price or level here is the opening price at midnight in New York local time, so I'm
564320	566060	extending it out in time.
566060	573760	So now think about what I've done so far here, before the fact, in Twitter, in a video and
573920	582920	post I stated that I'm interested in seeing these taken out and I like 470 as an interest.
582920	584400	Okay, that's a draw on liquidity.
584400	592120	So if we're up here and I'm stating that I think 4070 is interesting, your eye should
592120	599360	go to that level and study what it is at that level that may be of interest to me.
