start	end	text
0	9640	Alright folks, welcome back.
9640	18400	This is our review and final discussion in the free 2022 ITT Mentorship for YouTube.
18400	27480	So this is June 23rd, 2022 and we're looking at the e-mini SMP September contract for 2022
27480	33720	and this is an hourly chart. So I'm cutting right to the chase here and this morning on Twitter
33720	40120	I was looking at, well I was expecting actually a little bit more volatility around the Fed chair
40120	48960	Powell speaking at 10 o'clock in the morning and we didn't get a whole lot of excitement but we
48960	58360	did get to see ICT's expectation fall short. So that's one of the benefits of seeing it live with
58360	69000	me. An expectation, an analysis, a call, a viewpoint, a perspective, opinion, not coming to pass.
69000	80240	Okay and time of day, how I used it and how you should use it going forward and also how it kept
80240	90720	me from looking at an incorrect setup that would otherwise maybe a catalyst for you having had a
90720	96240	incorrect setup this morning and I'll talk about that in a moment but for now this is the framework
96600	104640	for today. We had sell-side liquidity here, the market dropped down, took that sell-side out, rallied
104640	114120	up, buy-side here. I was looking for 3805 level today and this is the reason why and I was looking
114120	120000	at it early on in the morning. I wanted to see it run up here and hit that. If it was gonna hit
120000	128320	it I would have been watching for a potential short deform but it didn't do it. So that was
128320	133080	my expectation based on this high back here. We already took sell-side so I was looking for
133080	139880	a little bit deeper run into this high here when we just went just above that short-term high there
139880	146280	and gave up the ghost and went lower and I had a trade that got stopped up plus two points and I'll
146280	152640	talk about that when we get into the lower time time frame. Alright so here is the 15 minute
152640	159600	time frame and usually I have the charts blank and I'll ask you to take a look at it. I don't
159600	164960	want to do that tonight because I want to get to the teachings at the end to kind of like bring
164960	172640	this entire mentorship to a close. The teachings itself will end for this model in this lesson.
173280	178520	So technically there's 41 videos that make up this mentorship so if you take away the introductory
178520	185760	video it's basically what 40 even so that's not bad. Hopefully you found it insightful and helpful
185760	195560	but looking at this morning we had the 10 o'clock pow event here and the market started to run up
195560	200480	and we took out the buy-side here but again I was aiming for this. This is what I wanted to see. I
200480	205280	want to see it run up here and actually took a long in here. I was wanting to see it run up into
205280	212400	that level and I was going to do a reversal and it didn't obviously give it to me. So notice the
212400	219200	time of day here. This is New York index a.m. session operating hours or kilton if you want
219200	228400	to call it that and it's 830 in the morning till 11. Now I can take trades after 11 o'clock but I
228400	235840	want to kind of like stick to the rules and present you opportunities to see where following
235840	242280	the rules you're gonna miss certain opportunities it's okay it's fine you're gonna get it wrong
242280	249600	sometimes you watch me get something wrong today there was no skin off my back nothing you know
249600	256200	bad happened is I didn't get what I was looking for and because it was late in the day as we'll
256200	261840	look at the lower time frame in a moment but it ran above the short-term buy-side liquidity here
261840	270120	I wanted it to run up to here but it broke down and I was telling myself and also even use public
270120	275640	on Twitter that I wasn't interested and I wasn't quite sure what it wanted to do because it was
275640	283480	approaching that noon hour and I took a trade and out plus two so in other words I was just
283480	292280	covering expenses basically and I was wrong on the initial run so when I have that scenario and
292280	298680	it's off of a Fed chair or a high-impact news event and it didn't pan out like I was expecting
298680	304760	it to in my experience it's been better for me to just move away and say okay I'm gonna close
304760	309960	the computer and I'll come back later on and see what's going on and I didn't want to trade any
309960	317600	more of the morning session leading into noon so I had waited and I was gonna take a look at what
317600	323200	it did in lunch hour and post lunch hour around 1 30 and see what there was opportunity to do
323200	333600	anything then but we have a fair value gap on the 15th time frame here see that so the market
333600	339200	eventually after running the buy-side here drew all the way down took out sell side here overrun
339240	344480	this fair bag gap here why did it do that because this is a larger one so if it's gonna go over top
344480	350160	of this one and trade to the top of this candle which is the low end of that fair bag gap that's
350160	358120	here that's not noted on showing your by the respective candles it's gonna go here that's
358120	364640	also the high end of the fair bag gap here so it's likely to go over top of this one and run into
364640	370800	this one okay it does that as we're going into the noon lunch hour in New York until
370800	378620	one o'clock where it makes the low of the session after closing in the fair value gap and then the
378620	387800	130 to 4 New York local time that's the p.m. session New York index p.m. session or afternoon
387800	393440	session for index trading and the market started to create a willingness to want to go higher
393440	397480	we'll look at a short term shift in market structure when we get in the lower time frame
397480	407000	but it draws all the way back up to the target I was looking for in the morning so the expectation
407000	412920	of going to that specific level let me explain to you what I was looking for I wanted to go above
412920	419360	hit that and then sell off and go down to this area here for a discount and then create the run
419360	425920	and then go beyond 3805 that's what I was really looking for today that's what I wanted to do but
425920	432640	it failed to get to 3805 it fell down into this area here and I knew once it broke here I don't
432640	436840	want to go short because I'm going into lunch hour and I was concerned it was going to consolidate
436840	443720	a lot and then take forever to get down into and I don't want to hold anything new into lunch so
443720	452800	I prefer to see some kind of a stop run in the lunch hour which is what we're seeing here it runs
452800	459040	down below that and into a fair value gap deep discount between low high trades down into it and
459040	473320	then rallies up this session here we'll look at it on the five-minute chart so we can see obviously
473320	481080	the initial poke above here inside this area I was looking at a two-minute fair value gap I
481080	488320	mentioned that on Twitter as it was forming and it rallied up and then once it took the short-term
488320	494560	high out when this was a bold-faced bullish candle I was thinking to myself okay it could
494560	501360	expand up in here and I'm watching that and I had a tweet ready to go I'm gonna sell short here and
501360	506080	look for a rundown into this level here never got okay and there's some of you probably gonna
506080	510840	hear this and say oh yeah sure you sure you did I mean it is what it is folks I mean I was out
510840	515560	there without a safety net and I told everyone what I was expecting what I was looking for it
515560	521320	simply didn't pan out and that's okay but the market eventually breaks lower then after we get
521320	527440	into the lunch hour closing at one o'clock and then I personally like to wait till 130 because
527440	533440	it's a little bit more cleaner price action the market starts to rally away drops back down into
533440	539440	an order block a fair value gap on a five-minute chart then we have a shift in market structure
539440	545040	here on the five-minute chart creates a small little return to a fair value gap there rallies
545040	549720	another fair value gap it runs into it here rallies and eventually takes up the short-term
549720	553560	high of the day and then runs through the levels drawing your attention to on Twitter
553560	563560	all right so here's the five-minute chart zoomed in with the morning session you see the run here
563560	571880	on the buy side one more here and eventually breaking down displacement small little fair value
571880	580120	gap here rolls down into the fair value gap here and then once again returning back up into an
580120	585960	imbalance then runs down to the low end of the fair value gap turning basically at the low of
585960	595480	the session at the low end of the fair value gap at one o'clock so closure of lunch time hour it
595480	608680	creates that low this right here is the two-minute chart and this is the fair value gap I drew your
608680	616720	attention to live and it came down into it here and inside this fair value gap is basically
616720	622160	drawing your attention to that as a potential long I did and I was looking for a run into 3805
622200	627520	and it started the run took out the buy side here I mentioned the buy side would likely be a draw
627520	634200	on liquidity it was but I wanted to see a draw up to here that's the specific level I was looking
634200	640040	for and it the market comes back down into the fair value gap again once more and then rallies
640040	643840	above the short-term high here this right here would have been a nice opportunity for me to
643840	652040	basically say pay the trader and me take something after I tweeted that off but I didn't because I
652040	658560	wanted this level here okay now one could argue and say oh you're being greedy or you didn't follow
658560	662520	rules or you didn't do this and you didn't do that it's easy to armchair quarterback someone
662520	668080	and it's okay if you want to do that in the comment section that's fine but just know that
