start	end	text
0	4000	What the fuck is up, guys? Welcome to our first ever official YouTube video.
4000	6800	If you don't know who we are, we are PB Trading.
6800	7600	I'm Patrick.
7600	8240	I'm Blake.
8240	9840	And that's what PB Trading is.
9840	13840	Maybe you know us from the skits online or maybe you know us from the Discord.
13840	17040	We have a trading Discord and we also make comedy videos on the internet.
17040	19920	If you find those videos funny, it's probably because you related to them once.
19920	20960	We all have been there.
20960	22480	We've all full ported accounts before.
22480	24240	We've all blown fucking 100 accounts.
24240	27040	We all started at rock bottom.
27600	29120	But we want to get more serious here.
29120	34000	I want to give you guys essentially an ICT for dummies series,
34000	37200	which is all you will ever need to achieve profitability.
37200	41440	I guarantee you guys, if you just watch this from the start to the finish,
41440	43040	this is literally going to be all you need.
43040	47840	Scrap everything that you ever have learned or seen in any YouTube video.
47840	51040	We're going to teach it to you in a way where even your fucking grandma could learn this.
51040	53520	I mean, I learned how to trade through Blake.
53520	54000	All right.
54000	57120	I was able to understand his strategy in maybe two to three months.
57120	58640	And it's the most digestible thing ever.
58640	59120	It's easy.
59120	62160	When information is filtered, it's easy to understand, right?
62160	65120	A huge problem just with any information online.
65120	67520	So there's so much of it online and you don't know what to look for.
67520	68800	You don't know what to consume.
68800	69600	That's why we're here.
69600	73200	We're here to filter this for you and structure it in a way where it's essentially.
73200	78320	Why do we just get more where it's going to speed run this profitability process, right?
78320	82080	And we're not saying like rushing the process or leaving out information.
82080	84560	We're just not adding unnecessary information.
84560	87280	We're making this as efficient as possible.
87280	87600	All right.
87600	90320	And I think you guys deserve like a little introduction.
90320	91600	So my name is Blake.
91600	94000	I've been trading for four years now.
94000	96960	I made my first hundred thousand dollars trading when I was 19 years old.
96960	100480	How I started was pretty much just like you guys.
100480	103360	I bet you guys searched up how to start trading on YouTube.
103360	107040	First video I saw was this dude named Warrior Trading.
107040	108560	I don't know if any of you guys have seen him.
108560	110560	Turns out he was a complete fraud.
110560	114160	He got sued by the FTC for three point five million dollars.
114160	115760	And I was learning from him.
115840	117520	And that was that was my start.
117520	119760	And I was learning basically just options.
119760	122400	You know, I flipped 5K into 12K.
122400	123280	Lucky.
123280	123600	Yeah.
123600	125680	Lucky like I was not.
125680	126320	I had no.
126320	129200	When I tell you guys I had zero clue what I was doing, like zero clue.
129200	132640	Like I would remember going into this dude's like YouTube because he used to do like free
132640	133840	YouTube live streams.
133840	136960	He would show you like like the stocks that he was looking at.
136960	139680	Bro, I would literally be like, yo, what time does market open?
139680	140720	It says like nine thirty.
140720	141600	I'm like bet.
141600	145120	So I'll just like buy the stock at nine thirty open.
145280	146880	Thinking like that's what you're supposed to do.
147440	148720	Bro, I worked out for a bit.
148720	154000	This kid visited me my first year in college and he just showed up decked out in chrome.
154000	155040	And I'm like, what the fuck?
155040	157680	I'm like, where'd you even get all this jewelry from?
157680	158320	Yeah.
158320	159440	You ended up selling that.
159440	160560	Yeah.
160560	163920	And like a matter of like a few days, I had to sell all of that.
165040	166560	Yeah, I ended up blowing all that money.
166560	169600	I was basically all the money that I saved up from when I was working.
169600	174000	Working at this job at this place called Care Express.
174080	176960	I was cleaning dishes fucking 24 seven.
176960	180400	I smelled like straight bleach and shit all the time.
180400	183440	My boss, like everything sucked about the job.
183440	187120	And I remember like there was one night I was taking out the trash
188240	190320	and it was like a five minute walk to the dumpster.
190320	193280	Trash just spilled all over me, all on my back.
193280	195440	At this point, I'm like, I have to put it in the dumpster,
195440	198560	but there's just smoothie juice like all over my back and all on the ground.
198560	199920	So I'm like trying to pick it up.
199920	201040	It's like nine p.m.
201040	202960	It was like, no, it was like past closing time, bro.
202960	205040	I was so late and it sucked.
205040	207200	And then my boss outed me the next morning.
207200	209760	He comes to me, he's like, Blake, I saw you on the security cam footage.
209760	211600	Like in front of everyone, in front of everyone.
211600	213440	Like you left all the trash out and I'm like,
213440	214480	there's nothing I could have done, brother.
214480	215360	It's like smoothie juice.
215360	216880	He's like, well, you got fined by this.
216880	220240	We got fined by the state or by the city, like three hundred dollars.
220240	221520	And I'm taking it out of your check.
222080	225440	And I'm like, bro, like that is literally like the three hundred dollars.
225440	226800	I made like three hundred dollars a month.
226800	228320	Like that's that's what I was making.
228320	229680	Like three to four hundred dollars a month, bro.
229680	231600	At that moment, I was like, dude, fuck this job.
231600	232080	Fuck this.
232240	234320	I've saved up enough money because at the end of the day,
234320	235440	I wanted to be my own boss.
235440	237120	I don't want to have a boss.
237120	238800	So I saved up all that money.
238800	241120	Really, the first thing I started doing was searching up online.
241120	244320	The second I got home, how to start making money online.
244880	246800	SMMA, tried that, failed.
246800	248400	Drop shipping, tried that, failed.
248400	250480	Every single side hustle you could think of.
250480	256480	I was even doing fucking pressure washing for around my place just to like get more money.
256480	257760	I was actually doing that for a while.
258160	260880	Then I eventually found trading and fell in love with it.
261440	263360	It was really the only thing that stuck with me.
263360	266480	Shortly after that, I found ICT concepts, right?
266480	268000	So this was six months in.
268000	272800	And I mean, ICT, like it was the only thing that made sense in my head.
272800	273840	Support and resistance.
273840	275280	There's no like narrative behind it.
275280	279520	With ICT, there's always like a story behind like every trade that you're taking.
279520	285280	So it really made sense in my head and it kind of like changed the way I view trading.
285280	286880	And I think like that's like really the goal.
286880	291760	We're going to explain it to you in ways that not only make sense like technically,
291760	293200	but logically as well.
293200	297840	Because that's the way Blake explained it for me when he was teaching me.
297840	301680	So I mean, I don't know if I mentioned this already, but Blake essentially mentored me.
301680	306960	He's my best friend growing up for maybe the last fuck, I don't know, eight years.
307760	309360	Eight fucking years, maybe more.
309360	311360	One day we were on a trip together over summer.
311360	312080	We're just hanging out.
312080	312960	He shows me his phone.
312960	314240	He's like, yo, look at this shit.
314240	316080	I just made fucking thousand dollars.
316080	317360	I'm like, what?
317360	319360	How did you just make a thousand dollars?
319360	321920	We're posted up right now on the beach and he's just like, yeah, I just made a band.
321920	323760	I'm like, dude, teach me.
323760	324640	I didn't even say teach me.
324640	326080	I said, let me copy you.
326960	330560	And I think like everyone, that's like sort of everyone's first instinct.
330560	335120	When they see someone like make money, you just kind of want the easy route.
335120	336800	And Blake kept it straight up with me.
336800	339280	And he was like, no, I'm not letting you copy me,
339280	342560	but I will send you over every single video I've watched.
342560	344800	You can watch them learn and then I'll help you.
344800	345280	You know what I mean?
345280	346160	But first, you need to understand.
346160	347520	You need to build your foundation.
347520	348960	And I was like, all right, fair enough.
348960	352720	And so he sent me hundreds, thousands of fucking videos.
352720	354240	I watched every single one.
354240	357280	And then I would FaceTime him every single morning, market open.
357280	358880	And I'd have him there on FaceTime.
358880	361520	And he'd be like helping me sort of go about the trades.
361520	362880	He wouldn't just be like, yo, I'm in now.
362880	364720	But he'd be like, yeah, like this looks good.
364720	365360	This looks good.
365360	369840	And shout out pack because he's like the only person I've had in my life
369840	371440	that when I tell them what to do.
371440	374560	So when I was in college and I was like making a shit ton of money,
374560	377200	obviously all my friends were asking me like, yo, put me on.
377200	377840	What are you doing?
377840	379040	And I'm like, what's the method?
379040	379840	Whatever, right?
379840	381920	And I would tell them like, yo, this is what you have to do.
381920	383760	And I'll give them what they have to do.
383760	385040	Watch these videos.
385040	386160	It's going to be a pain in the ass.
386160	386800	Do this.
386800	388240	Nobody went through with it.
388240	389920	Patrick and I was thinking like, yeah, I'm
389920	391600	going to send him these videos, bro.
391600	394080	And like, it's going to be another story, you know?
394080	397360	And eventually, bro, he just kept up with me every day.
397360	398080	And I was like, fuck it.
398080	398640	I love this.
398640	399600	I love teaching people.
399600	401200	And he was obviously locked in.
401200	402320	He's a smart as fuck.
402560	405360	Bro, it's just like awesome having someone there side by side with you
405360	408480	who you trust, who you can see their success right in front of you.
408480	410480	And it makes it feel that much more possible.
