start	end	text
0	6000	What's up guys welcome to episode 2 of ICT for Dummies. This is gonna be a psychology episode. Please watch this video all the way through
6000	7200	It's really important
7200	12040	The topic for today is gonna be surrender your ego if you think that you don't need to watch this video because you're better
12040	13440	Or smarter than other people
13440	14760	I'll have you know that
14760	19600	Psychology is one of the most important things on the planet and you are no better than anyone else watching this video guys want to
19600	24960	Become better traders and better people so watch this shit all the way through don't think that you're at an advantage when you start
24960	30500	Something everyone starts off with not knowing anything and everyone needs to put their head down lock in if they want to learn something
30520	32520	Don't think that there's shortcuts to things in life
32520	38240	Don't think that not trying is cool people who give a fuck actually care to learn and enjoy the process are those who see
38240	41800	Results I've heard it from people before like hey, can you teach me how to trade?
41800	45600	I bet you I can learn faster than other people I can learn in two weeks. It doesn't seem hard at all
45600	51160	I learn other things fast like you're not special when it comes to trading. I'm gonna tell you straight up
52040	58040	Psychology is undeniably one of the most important factors if not the most important factor of all of trading
58040	61000	But you cannot have a good psychology if you don't work day in and day out
61040	66680	On and off the charts to make yourself a better person guys to make any sort of progression in your life
66760	73800	You must surrender your ego. You cannot do the same thing every single day and then magically expect a different result guys
73800	77080	I want you to know that we've been in your exact shoes and what I'm gonna be telling you guys
77080	80460	We're gonna give you homework, right? For example, we're gonna tell you soon to start back testing
80500	83460	We're gonna tell you soon start journaling and we're gonna tell you these things
83620	89380	Because we've been there because we know that these are the steps that we need to be taken to become profitable
89380	93820	You need to completely be vulnerable with yourself and let us help you
93820	101460	We've seen it a million times before where someone will pass their first account start making money and the second they see a bit of results
101460	108120	They stop practicing all the fucking good habits they had when they actually wanted it. You got to remember that feeling
109000	113440	24-7 you got to put your head down and treat it just like when you started even when you're making money
113440	118640	Like I've said it we've seen it so many times. They'll get their first payout. They'll stop journaling
118640	120320	They'll stop doing the technical analysis
120320	125480	They need to they'll start waking up one minute before market opens and think that they know everything and that they can take trades half
125480	126080	awake
126080	128080	Listen, everyone has a different journey
128400	133260	Everyone has different timing but everyone who sees success does the same thing
133260	139260	They put their head down every single day and they treat it like it's the first and a guy guys you need to be taking
139700	143460	Accountability for every single thing that happens. You cannot blame it on the market
143460	148820	You cannot blame it on any other factor other than yourself because at the end of the day you are the person that is pushing
148820	152420	The button you are the person that is making the same mistakes over and over again
152420	157660	And again, you are not going to see any sort of progression if you're just making the same mistakes and you're not writing it down
157660	160640	You're not journaling them the better you understand your emotions the better
160640	165020	You're gonna be able to manage them become in tune with yourself talk with yourself journal in the morning
165020	169680	How you feel before you trade make sure you're level-headed after you trade journal the trade
169680	173200	These are good habits you need to practice every day make your fucking bed
173200	179400	Do the little things build that discipline become an actual good person and it's gonna equate to you being a good trader
179400	183280	When you start trading you are going to be taking bad trades. It's inevitable
183280	184080	It's going to happen
184080	189400	But what you have to do after taking those bad trades is journal it you have to write down your confluences
189400	192000	Write down your emotions. How are you feeling before your trade?
192000	198560	How are you feeling after your trade and that is how you are going to progress the fastest the people that don't progress are the
198560	202240	People that make those mistakes and then you know, they forget about it. They don't journal it
202240	203000	They don't do anything
203000	208520	How the fuck do you think you're gonna see any sort of progress if you're not journaling if you're not surrendering your ego if you're
208520	209920	Not being vulnerable with yourself
209920	215320	And then there's people who make progress and then take a hundred steps backwards because they got comfortable
216000	218000	Don't become comfortable
218120	221920	Listen, you guys are all watching this video because you share the same purpose
222160	228600	You want to become profitable you want to live out your dream life and I'll have you know that the market does not give a fuck
228600	231320	About you. It doesn't care if you got straight A's in high school
231320	233400	It doesn't care if you've gotten all the girls in the world
233400	235960	It doesn't give a fuck if you're the biggest person at the gym
235960	241680	You're still not a good trader until you can put your head down like the rest of everyone else who has seen success in
241680	247260	The markets and to save you some time in your journey to profitability if you don't want to take this seriously and you think you're
247260	252900	The shit just wait till one day you get so sick of breaking your rules because you couldn't practice any good habits
252900	258440	That you're either gonna quit or you're gonna have to actually start giving a fuck and learning everything that you need to
258800	262520	There are no shortcuts in life surrender your ego guys
