start	end	text
0	3920	What is going on guys welcome to episode three of ict for dummies
4160	9040	We just did candlesticks and now we're on to market structure and now we're going to help you interpret these candles
9040	11520	So you can actually understand the trend of the market
11520	13920	So as you can see of two different types of market structure on the left side
13920	16720	You have the bullish market structure on the right side. You have the bearish market structure
16960	18720	What does bullish market structure look like?
18720	22800	Well, it starts with a low and then a high and then a higher low and then a higher high
23040	27200	And then a higher low and then higher high continue continue continue as for the bearish market structure
27360	29920	You're gonna have the opposite you're gonna have a high you're gonna have a low
30000	33920	You're gonna have a lower high and then a lower low a lower high and then a lower low
34000	37120	Okay, so now this is what it looks like on an actual candlestick chart
37200	42160	So we have a low then we have a high then we have that higher low then we have the higher high
42480	45840	Higher low higher high guys. It's gonna be like really simple
45840	50640	And I know you do not want to be learning this right now, but I promise you it is going to help you in the long run
50720	56640	Okay, I know we're gonna get into models later. We're gonna get into a fair value gaps, you know liquidity sweeps all that stuff
56800	61040	But you need to know the basics to incorporate everything that we're going to learn in the future
61120	63920	And then for the bearish structure, it's the same thing on the candlestick chart guys
63920	68240	So we have a high put in place then we have a low then we have a lower high
68640	75280	Then we have a lower low lower high lower low lower high lower low and this shows bearish market structure
75280	79280	And this shows a bearish trend in the market. Now we're going to show you some real-time examples
79280	82240	You can have a better understanding of this. Okay, so we're going to play this out in real time
82320	86880	You have your low right you have then your high that gets put in place your higher low
87920	90080	You have your higher high your higher low
90880	96880	Your higher low your higher high then you have a low and then we have our little liquidity sweep
96880	99200	We'll get into that later. Then your low gets put in place
99920	102720	Your higher low and then high. Okay, you got it
102720	108480	And although we are not trendline trading and that's not what we will be teaching you it is still incredibly important for you to understand
108560	112560	The foundational movement of price action and guys it's a little bit cringe
112560	118160	But the trend is your friend at the end of the day higher time frame is always going to hold higher power
118320	122160	So I oftentimes see a lot of people just fading the overall trend
122400	126480	We're all time eyes right now. Stop trying to catch the top and short this right?
126480	128480	We're clearly in bullish market structure
128640	132000	So catch those longs and you will get the best possible risk to reward
132000	136960	You're going to get the best entries and obviously we're going to get those entries using our models that we're going to teach later on
137360	142820	But this is again the foundation that is necessary here. All right guys little quiz time. Let's see if you can identify the trend here
149280	151280	Bearish
152320	156660	Why is it bearish now, let's do a little markout while patty dances for me
161440	162560	So as you can see here
162560	165840	We made the high the low the lower high the lower low
166080	171520	If you didn't mark this out correctly, you might want to reconsider trading and you might want to just i'm just kidding
171520	174640	And then your lower high exactly like this is not going to be perfect too guys
174720	179280	I want you to know also in a market. It's not going to look perfectly just like this how we draw it out, right?
179280	183360	It's most likely going to look something more like this, you know where we'll do something like this
184400	190560	Like this is the reality of how the market is actually going to be moving so spend some time on the charts identifying trends
190800	194400	Marking out your lows your highs your lower lows your higher highs guys
194560	199120	Also, if you want to looking at this on a line chart makes it also a lot easier
199280	202560	If you look at the low you have your high your high or low, right?
202640	209040	And you can identify trends simply using the line chart if you can't understand with candlesticks. Yeah, look how easy this is spot trends guys
210080	212000	bullish
212000	214000	bearish
214000	215600	bearish
215600	216800	bullish
216800	221840	Identify the trends for breakfast we got just to reiterate this like the trend is your friend
222000	227280	For example when you're swimming, right you want to be swimming with the current if you're in a little river, right?
227360	232000	You're swimming with the current. It's really easy. You're just swimming. You don't even have to put much effort into it
232640	236800	Versus if you're swimming against the current what is going to happen?
236800	242640	It's gonna be a lot harder to push through that right and it's you know, you're gonna hit stop. Oh my god hit stop loss, bro
243280	245280	That wasn't on purpose
245840	247840	You're probably gonna drown, okay
248240	250720	Of course if you're hyper fixating on the lower time frame right now
