start	end	text
0	6440	Welcome to ICT for dummies episode 5. Well, we just did for fucking you
6440	11960	We just read you are so fucking retarded. Just you're so retarded. You're so retarded episode 5 guys
12760	14760	To fair value guys
15440	17440	This is where price attracts
18320	20320	Yeah
20480	22480	For value guys
24040	26040	Reacts
27160	29160	Green or red homie
30360	34720	Black away like charts that are also like black and white and we don't discriminate
36200	38960	So over this video we're gonna be going over for value gaps
38960	44400	What exactly is a fair value gap though? So for value gap is basically just an imbalance in price
44400	47960	So when price has huge movements in the market, we leave behind
48760	52960	Imbalances imbalances are from an inefficiency of orders getting filled
52960	59800	so what price tends to do is trade back into these inefficiencies and use them as areas of support or areas of
60000	65040	Resistance, so there's two different types of fair value gaps. We first have here a sell side imbalance
65040	69920	This is a bearish fair value gap also known as a SIBI a sell side imbalance
69920	74040	And what a fair value gap essentially is is when the low of the first candles wick
74360	80520	Doesn't overlap with the high of the third candles wick or in a bullish sense the high of the first candles wick
80520	83880	It doesn't overlap with the low of the third candles wick here
83880	87520	We have it broken down into really five main components that make up a fair value gap
87520	90840	So it is a three candle sequence in order to create a fair value gap
90840	96480	You need you need at least three candles candles one and three's wicks do not meet which obviously you can see right in front
96480	101640	Of you. It is an imbalance in price. It acts as a magnet and delivers price in corresponding direction
101640	109000	So a sell side imbalance what this really means is the market is trying to tell you that it wants to go lower a
109120	115960	Sell side imbalance shows displacement towards lower prices, right? This is a very fast move where orders aren't filled
116000	122240	Okay, guys. So what a fair value gap is trying to tell you is that it wants to either go for lower prices or it wants
122240	125520	To go for higher prices. So a bearish for value gap is showing
126040	130080	Displacement it's the market telling you that it wants to seek lower prices
130080	136120	And what a bullish for value gap is trying to tell you is that it wants to seek higher prices to get this sell side
136280	142620	Imbalance you can expect it to target things like sell side liquidity and what a bullish for value gap is showing is bullish
143020	147340	Displacement in the market is telling you that price wants to seek higher prices
147340	149780	This could be for example buy side liquidity
149780	155020	So if you got super frickin confused what Blake was saying before with efficiencies and shit and nothing really made sense in your head
155020	159240	All you need to know is that there is an imbalance in price that needs to be corrected, right?
159240	162740	So as you can see here if we drag out the low of this wick
162740	167500	You can see that it doesn't overlap with the high of this candles way creating this imbalance
167500	171700	There is a gap between the low and the high meaning that is a bearish for value gap
171700	177900	And if we do the same thing over here the high of this first candles wick doesn't overlap with the low of this candles wick
177900	179940	Right here meaning that it is a for value gap
179940	182860	So as you can see here, this is not a for value gap
182860	189900	Why because the low overlaps with this candles high and as you can see there's a wick that overlaps meaning that there's no imbalance in price
189900	193340	And this is not what a for value gap looks like and then as you can see here
193340	199580	This is also not an example of a for value gap because this candle wicks high overlaps with this candle wicks low
199580	205980	So this is not an example of a for value gap. You need spacing between the wicks. So I decided to make you a
