start	end	text
0	4640	Welcome to ICT for dummies episode six time
5520	9200	Yeah, um anyways guys. Oh, yeah, oh we're flexing
10720	12520	This is gonna be a pretty simple session
12520	17520	This is foundational knowledge that you should a hundred percent know and it's gonna help you with trading a lot today
17520	24200	We're gonna be going over the five most significant sessions Blake. Okay, so what I have here is kill zones
24200	29960	So what kill zones are are going to be the best times to be trading in the market since we are trading the Nasdaq
30160	35080	We are trading Nasdaq futures and we are also trading ES and the S&P 500 futures
35080	39560	This is all going to be an Eastern standard time now for 4x kill zones are different
39560	42880	So please note that if you're gonna be trading 4x there are different times
42880	45920	But since we are just trading ES futures and enqueue futures
45920	50760	These are the times that we want to be paying attention to now. We have five different sessions here. All are very important
50760	53960	We have Asia session which starts at 8 p.m. Eastern to 12 a.m
53960	57840	We then have London session and Asia session does tend to be a lot less
57880	63200	Volatile and choppier because not a lot of New York traders are trading during this time same thing goes for London session
63200	65400	You're gonna get a little bit more volatility from 2 a.m
65400	66120	To 5 a.m
66120	67080	And then New York a.m
67080	73360	Session is going to be when the market has the most volatility and it's also going to have the cleanest price action because this is
73360	79560	When the New York traders are trading during this time now 830 am is going to be when news is released
79560	83640	So 830 is also still technically pre-market and 930 a.m
83760	89120	Is actually when the stock market opens so when the New York Stock Exchange opens is at 930 a.m
89120	94280	That is that opening bell and that is going to be when a lot a lot of volatility kicks in but 830 a.m
94280	96180	Still is part of the killzone time
96180	100360	You also have New York lunch hour in New York p.m. Session New York lunch hour
100600	102760	Obviously is not gonna have a lot of volatility
102760	108520	There's not gonna be a lot of people trading during this time and just like the name entails like people are typically on lunch breaks
108520	110440	There's not a lot of traders during this time
110440	114560	Directly correlating to the fact that there's not gonna be a lot of volatility or volume then you have New York p.m
114560	118840	Session this typically does have a bit more volatility in volume
118840	121200	But not as significant as New York a.m
121200	123560	Session for the most part on some days New York p.m
123560	126000	Session might have more volatility than New York game session
126000	127680	But most days New York a.m
127680	134560	Session is gonna be your best bet at finding just the best opportunities in the market since the most amount of traders are gonna be trading
134560	135440	During New York a.m
135440	140280	Session this is gonna have the most consistent price action and it's gonna generate the most consistent results
140280	145080	With our strategy and with ict concepts in general. Yeah guys for beginner traders
145080	148440	I highly highly suggest just focusing on New York a.m
148440	152440	Session you should not be trading during a session one in session lunch hour
152440	159000	Now these times are significant because they are going to be really high probable liquidity pools, which we'll get into later
