start	end	text
0	4660	Welcome to ICT for Dummies Episode 7
4660	6360	Liquidity Part 2
6360	10000	Highest Probability Liquidity Pools
10000	13360	Highest Probability Liquidity Pools
13360	16600	Yo yo, check it, we gon' do this session
16600	20360	I don't even want to go back to my brethrens, listen
20360	23000	We going to the Probability Liquidity Pools
23000	26200	Don't be asking me where I'm going because I'm gonna do
26760	30760	Liquidity
30760	32760	She wanna be with me
32760	34760	Alright yo, cut this shit right now
34760	35760	Stop it!
35760	38360	Liquidity Part 2, Highest Probability Liquidity Pools
38360	41160	Today we're going to be going over all the different types of liquidity pool
41160	45800	In the first liquidity video we went over the basic bi-side liquidity and cell-side liquidity
45800	49160	Which is essentially the foundation of liquidity
49160	53160	But there is way more to that than just bi-side liquidity and cell-side liquidity
53320	55320	So hopefully you can learn something new with this video
55320	57920	And show you how to truly identify the different types of liquidity
57920	61920	Whether it is time liquidity, whether it is internal liquidity, whether it is external liquidity
61920	62920	There's a whole lot of it
62920	64920	Whether it's your mom's liquidity, I'm just kidding
64920	68120	Anyways, so let's start off pretty simple here
68120	71120	Alright guys, the first type of liquidity that we're going to go over is session liquidity
71120	72120	Why is this important?
72120	76920	It's because price often reacts very strongly to previous session highs and lows
76920	80720	This is where the major high and major lows are going to be of each session
80880	82880	For example, on the left side here you can see we have Asian session
82880	85880	So you have the entire Asia session and you can see here's the major high
85880	86880	And here's the major low
86880	90880	There is going to be a lot of liquidity resting in both the high and the low
90880	92880	And so for example when a new session starts
92880	95880	You can see London session for example
95880	97880	Once it sweeps Asia highs
97880	100880	It'll typically get a reaction and then trade to maybe Asia lows
100880	102880	Same thing will apply once you're trading New York session
102880	105880	You want to be looking out for these highs and lows
105880	108880	So very often when we're trading New York session
109040	113040	We're looking to target maybe London highs or maybe London lows as our external liquidity
113040	117040	Why? Because there is a lot of liquidity resting in both those highs and lows
117040	120040	Okay, so the indicator I have here is ICT kill zones and pivot
120040	123040	So this marks out these sessions that we have
123040	125040	For example here we have Asia session and we have London session
125040	129040	And this shows us our Asia session high and also the Asia session low
129040	132040	This is the lowest point at which Asia session has traded to
132040	133040	And this is the highest point
133040	137040	And at these two levels there are going to be a lot of liquidity resting there
137200	139200	A lot of stop losses resting there
139200	140200	Just think about this logically
140200	142200	If someone's taking for example a short during Asia session
142200	145200	They're most likely putting their stop loss at that Asia session high
145200	147200	Or if they're taking a long at that Asia session low
147200	150200	Considering that these are both incredibly prominent liquidity pools
150200	154200	What can you expect when previous session trades to either these high or these lows
154200	155200	You're going to expect rejection
155200	157200	Now let's look at London session
157200	158200	Let's see what happens here
158200	160200	As you can see during London session
160200	163200	We went ahead and ran up to Asia highs
163200	164200	After we swept Asia highs
164200	165200	What happened?
165360	168360	We got displacement lower and then we ran to London lows
168360	170360	And as you guys have heard us say before
170360	172360	Price is always doing one of two things
172360	174360	It's either rebalancing ranges or it is seeking liquidity
174360	176360	In the case of session highs and lows
176360	180360	It will typically run from one session high to another session low
180360	182360	Or from one session low to another session high
182360	185360	Understanding the importance of previous session highs and lows
185360	188360	Is going to help you determine your bias every single day
188360	190360	So if we're going into New York session
190360	192360	And we see that London highs has been swept
192360	194360	We can expect price to now trade to London session lows
194520	195520	And you're also probably wondering
195520	197520	What are these other sessions on the chart
197520	198520	So for example
198520	200520	If I'm trading during New York PM session
