start	end	text
0	9400	Welcome to ICT for dummies episode 9 SMT Divergent
9400	11400	Oh shit I forgot about that part
11400	12600	I forgot about that part
12600	14600	You know, ignore the all white background
14600	16800	and maybe the potentially low camera quality area
16800	18000	We're not with our typical setup
18000	20400	and we are currently in the psych war
20400	22300	So we're in those white boxes right now
22300	25000	forced to simply do nothing but talk about trading all day
25000	28800	But that being said, we're gonna make a video on something trading related
29200	31600	Keeping you guys profitable and all that good stuff
31600	32100	So
32100	34100	When you sweep that high
34100	35600	That high
35600	37600	But yes, doesn't take it
38800	42000	Now we have a divergence
42000	44800	And I can't take it
44800	46000	You can't take it
46000	48000	Correlated assets
48000	49200	So correlated
49200	51600	But sometimes they don't correlate
51600	52800	Then it's not
52800	55600	That's when you get
55600	56400	What do you get?
56400	59200	An SMT
59200	63200	But I'm an S
63200	66400	I'm an M
66400	70000	I'm a T
70000	74400	I'm an SMT
74400	76400	That was so private, it was fire
78400	79400	Alright everyone
79400	80600	This is going to be episode 8
80600	83600	We're gonna be covering SMT Divergent
83600	84400	Yes sir
84400	87200	Weirdly enough, this is probably one of the most commonly asked questions
87200	88900	when it comes down to ICT concepts
88900	92100	SMTs are considerably one of the easiest things to understand
92100	94200	Every single time Blake and I are streaming
94200	96000	Everyone's like, what's an SMT?
96000	97200	What's an SMT?
97200	99800	Maybe every other six chats
99800	100100	Yeah
100100	101500	Like it's actually ridiculous
101500	102300	That's true
102300	104400	So hopefully after this video
104400	106800	We'll just be like, watch the damn video, bozo
106800	107800	But yeah
107800	109800	We're gonna get into SMT divergences today
109800	112500	We're gonna be talking with mainly two assets
112500	114900	That being Nasdaq Futures NQ
114900	117500	And then S&P 500 Futures ES
117500	120700	These are the two main assets we use to determine SMTs
120700	123200	There are others that you can use like YM
123200	124800	But to be honest, we just stick to these two
124800	125700	It's really all you need
125700	128700	So yeah, we'll get into this and explain you what an SMT is
128700	132600	So an SMT is going to be an indication in reversal in price
132600	133900	For example, here on the left
133900	135700	This is what a bullish SMT will look like
135700	136700	And you can switch this around
136700	138300	This can either be Nasdaq over here
138300	140400	This can be S&P 500 over here, alright?
140500	143500	So for this example, let's just use this as being Nasdaq
143500	144900	We have a low put in place
144900	145900	We then have a high
145900	147200	We then have a higher low
147200	149600	And then we have a new high that gets made, right?
149600	152600	Versus here on ES, what happens is we have a low
