start	end	text
900	3420	Welcome to ICT for dummies
6900	12940	All right guys, wait, what episode are we on time bro? Yeah, it's fucking dude. I grew up had kids
13620	16220	died came back to life and
16740	20040	Now we're starting to do GTA 6 is about to come out. Yeah
21180	27720	No, genuinely. This is like from the bottom of my heart our hearts. We are so so sorry
28080	34680	And the reality is that we didn't stop the series because we didn't want to finish it, but we just realized
35360	38960	that we hadn't shown you a lot of like our lives outside of trading and
39720	40600	You know
40600	45400	We wanted to just show you a little bit of other shit that goes on in our life because I don't want it to just be
45400	51560	Trading related, but now we're gonna push out this entire series. It's gonna be fucking insane. What the fuck are you doing, bro?
51560	53400	Actually, I'm the fucking
53440	57840	And this is about to be the sauciest shit the world has ever seen literally the sauciest
58320	63920	Series the world has ever seen. I mean, it's already been super saucy, you know, we're underrated but it's fine
63920	69640	You're not gonna find something that explains these concepts as well as we do. Anyways, let's spin back that intro
70320	74160	Welcome to ICT for dummies episode 10
75360	77360	daily bias
78240	82480	Daily bias. Yeah, I'm rolling hella deep. I feel like a damn daily bias
83440	85440	Bitch, I'm gonna hell. Hey, yo
86120	89520	Yeah, chill on me chat. Um, I let's run this bitch up. So
90200	95120	Whoa, and today guys, whoa, we are going to be covering daily bias
95440	100680	Like Pat said this is going to be probably like the sauciest episode we have ever recorded
101280	107400	Yeah, definitely the sauciest episode we ever recorded. It's going to be going over drawn liquidity and how I find my bias every day
107480	114640	We're gonna first get into why the market is moving get into the two ways to actually find your bias and drawn liquidity and the five
114640	116640	Questions that you have to be asking yourself
116880	120720	Or really like three questions you have to be asking yourself and that's how you'll find your drawn liquidity
120720	125360	And then from there, you know, I'll show you guys some drawings and then we'll get into some chart examples
125360	129760	Oh drawing drawn liquidity. That's a lit if I've ever heard of lit super cool. Super cool
130040	133480	Can we move our face cam to the right because it's gonna be covering the minute time frames and shit
133480	135720	They're gonna need to know what time frame around so it's better. So I'm sure it is
135720	139080	Yeah, they don't have to know the minute time. Yeah, they do because if I'm like I'm going on the hourly chart right now
139080	143400	They need another run the hourly chart. So let's move it over to the right side. I know it's not usual
143400	146960	But I don't feel comfortable right now. Yeah, I'm not gonna run the right side now. So
148040	151380	Let's get into this. All right. So first off guys again, like we're
152520	155520	Let's get into this. All right. So why does the market move?
155520	159480	Okay, so when you're finding your bias for the day, you have to be asking yourself
159480	162060	Why is the market even moving in the first place, right?
162620	166540	First off we can we can see here we have rebalance inefficiencies
166540	173340	So an inefficiency is simply just a fair value gap and price likes to trade back towards bullish for value gaps and bearish for value
173340	176980	Gaps and this gives people a better entry right a better entry in price
176980	179580	So you're not just entering off of a really high
180060	186780	Premium right when you get these large gaps up price likes to rebalance into these ranges and into these fair value gaps
186820	188820	Do you then send price higher? Okay
189500	194860	Does the size of the gap matter the size of the gap does not matter. Thank God. Yeah. All right, you good
194860	201900	Yeah, okay, just double checking because I was sound like something else. I don't know. It's good. Anyways next up similar. Oops
202500	206900	Just shake it a little bit more pal. No, keep going. I'll hold it for you the entire time. Actually. I'm good
206900	212060	I don't I don't like touching the desk. Okay next up. We have rebalanced to equilibrium. Okay, so
213180	217980	Similar to inefficiencies, but this time it's going to be when we have a really fat range
218140	220140	So I'll show you guys an example soon
220260	225660	But when we have a really big impulse leg where the market just shoots up or just dumps, right?
225660	231420	We're gonna have a big range that price likes to rebalance you right again. People don't want to be shorting in a
232180	234500	Discount for example here, right in this scenario
234500	241380	We want to be shorting in a premium and then and when we're longing people don't want to be longing in a premium people
241380	245560	Want to be longing in a discount, right? We already went over this and our premium and discount video
245600	251120	So if you haven't seen that already, please go watch that because it's gonna explain a lot and you definitely need to be watching this
251640	253640	that video first and
253960	255160	finally
255160	259400	Price likes to move and price does move to seek liquidity
259480	264960	Okay, and we had a whole entire two-part series already on seeking liquidity
264960	268360	So go watch that and it went over all the liquidity pools
268360	272720	So we have you know buy side sell side day side day side, right?
272880	278160	And pretty much all the problems I find there's no that there's no side side buy side sell side
278160	282680	There should be some side side because when the market's just chopping your side side, that's gas
282680	285520	Yeah, super guys eating the side liquidity super gas and
286840	290240	But but yeah, I got we already went over all the different types of liquidity pool
290240	295640	So the prominent ones that you guys should be remembering is like previous day high previous day low session liquidity
296840	300360	You know any time-based liquidity is really gonna be important
301000	303000	Also equal highs equal lows
304600	307760	Low resistance liquidity as targets, right and
308600	310320	honestly, we can
310320	315440	Move on right. This is pretty much all you guys really need to be asking yourself is why is the market moving and
316360	319360	Where the drawn liquidity is? Okay, so so yeah
319360	323880	I mean, this is really the three main aspects of the market and if you can understand these then
324480	326480	You've practically mastered the markets
326880	334800	But yeah now let's get into how do you find your drawn liquidity your DOL your BBL
335560	337160	so
337160	341440	You ask yourself. Are we delivering from buy side or?
343120	345120	Are we delivering from
345440	352840	Sell side, right? So Blake tell me here. What do you think is happening on the left side? Okay, so wrong
352960	357280	So here we're delivering from sell side you can see that right here price comes down
357280	361000	It's sweep some sell side and we're not displacing below the sell side
361000	363960	We're delivering from the sell side and in the process of that
364520	366720	Obviously as we were delivering towards the sell side
366720	368800	We created probably bearish fair value gaps
368800	374640	And so then after we deliver up from sweeping the sell side we start invalidating this bearish for value gap
374640	378920	And now we are respecting bullish PDR raise. So in
380160	382160	summary, wow
383800	386040	We are delivering from sell side
386280	390920	We are disrespecting bearish PDR raise and we are respecting bullish PDR raise, right?
390920	392520	So these are the two questions you need to ask yourself
392520	399000	Are we delivering from buy side or sell side and what PDR raise are we respecting versus disrespecting forgot to say that before and here?
399000	405920	We're delivering from sell side. We're disrespecting bearish PDR raise and respecting bullish PDR raise, right?
405920	409640	And all this is in the process of delivering to some sort of drawn liquidity
409960	413560	Which blaked marked out with this zesty eyeball
413560	414520	All right
414520	419800	If you ever see those tiktokers putting eyeballs at their drawn liquidity, just know that they've never gotten to pay out
420400	424960	True. Very true. Now on the right side. We have the vice
425480	430800	Versa here. We're delivering from buy side because you can see that price comes down. It comes up
430800	436320	It sweeps this buy side and now we start getting bearish order flow here
436520	444040	We're disrespecting bullish and respecting bearish and we're delivering towards that drawn liquidity, which it can be seen here with this eyeball
444040	446080	We don't know what this mysterious drawn liquidity is
446080	450200	But you know, just know that if someone has an eyeball there, they're probably hitting a 1 to 20 rr
450200	452200	And it's a first one they've had in nine months
453040	458720	True that. Yeah. So yeah guys, these are the questions that you should be asking yourself. So every day when I'm coming into my day
460160	462640	I don't know when I'm coming into the day every day
463600	467760	There's no good way says what I'm looking at my daily bias, I'm trying to find my daily bias
468760	473040	When I'm trying to find my daily bias, I'm asking myself these questions first question
473040	475880	I'm asking myself is are we delivering from bias at our sell side first?
475880	479840	I just want to see that's what are we generally doing right and then from there
479840	485560	I'm looking at what PD rays are we respecting versus disrespecting and then finally I'm really just asking myself
485680	490760	Why should the market even be moving here? Right? Are we going to rebalance towards the range?
490800	497200	Are we going to be seeking out some sort of liquidity? Are we running stop losses, right? Or are we going to be?
497840	500320	Trading into some sort of inefficiency, right?
500320	505920	Because the market is always moving for those three reasons and to find out if the market is going to go there
505920	510720	you first need to see if we're delivering from bias at our sell side and then you need to see if we are respecting or
511040	513480	disrespecting these PD arrays and
514040	517640	Yeah, I mean from here. This is just literally just drawings, right?
517680	523320	And I'll show you guys now some chart examples that I send out every single day in our premium and discord
523320	529120	I send out a daily bias and I basically just call the market live in front of everyone
