start	end	text
0	5000	Welcome to ICT for Dummies, episode 11.
5000	8000	How to manage your motherfucking risk.
8000	14000	If you're in a Ford F-150 and you don't want to crash into a tree, you gotta know how to manage your motherfucking risk.
14000	17000	You gotta know how to manage your motherfucking risk.
17000	19000	Alright, John.
21000	28000	This is how you manage your risk.
28000	34000	But you'll win time and weigh your losses.
36000	38000	Holy shit, bro.
38000	42000	Digital footprint more like digital shit stain.
42000	44000	What the fuck is up, shot?
44000	46000	Oh my god, you're so fucking dumb.
46000	52000	Oh my god, bro. Oh my god. Oh my god. Oh my god.
52000	55000	Edit this out, editor. Just kidding.
55000	60000	Alright, guys. For this episode, we are going to be covering risk management.
60000	64000	This is going to be by far, I know I pretty much say this like every episode,
64000	71000	but I really do think that this is going to be the most important episode that you guys will ever receive and ever watch.
71000	76000	And the reasoning for that, guys, is because you can make money in the markets.
76000	79000	Anybody can make money in the markets by clicking buy or by clicking sell.
79000	84000	The reason that people are profitable is because they're able to keep that money that they make.
84000	89000	So this is why risk management is so important, being able to keep that money that you make.
89000	90000	You know, we're going to show you the models.
90000	92000	We're going to show you our whole entire strategy.
92000	96000	We're showing you liquidity, all that stuff that you need to know to actually make money.
96000	100000	In this lesson, we're showing you how to actually keep that money.
100000	103000	That was really gross. And I didn't like that.
103000	110000	So in one word, what Blake was trying to say, it's how you let your wins outweigh your losses.
110000	111000	Sure.
111000	113000	Yeah, that sounds about right.
113000	116000	Why is this light so fucking bright?
116000	117000	It's chill.
117000	119000	Whatever.
119000	127000	Anyways, we haven't broken down into three big phases because we're assuming 99% of you guys are funded or funded traders or trying to become funded traders and you're using pro firms.
127000	130000	And so it really comes down to three major phases.
130000	134000	The eval, the building the buffer process, which allows you to get paid out.
134000	139000	And then, of course, getting your pay out before you assume that this is all this video is going to be.
139000	146000	We're also going to show you how you use that template tool to measure your risk, calculate your risk using minis, micros, all that stuff.
146000	150000	I know a lot of you guys are commenting.
150000	153000	How do you know how many contracts to risk and all this shit?
153000	156000	Or do you just risk one mini? Do you just risk 10 micros?
156000	160000	It's like, no, your risk is always adapting to match a certain percentage.
160000	163000	So your contract size is always shifting.
164000	175000	Anyways, that being said, I guess risk can sort of be subjective in the context of different strategies are going to require a different risk.
175000	177000	But we're going to teach you in the proper way.
177000	181000	If you're a pro firm trader, ideally you want a strategy with a high win rate, low RR.
181000	187000	That's what's going to help you pass accounts consistently, get payouts consistently, et cetera, et cetera.
187000	191000	So, of course, it all starts with the eval phase.
191000	194000	If we're breaking down the eval phase, there's three major components to it.
194000	202000	Well, really two. You have a max daily loss or just like a max loss limit for that eval account and a profit target.
202000	210000	So most pro firms, how they work is you'll have like a three percent, not three percent, you have a four percent.
210000	211000	Three to four percent.
211000	215000	Yeah, three to four percent max loss limit on the account with a six percent profit target.
215000	217000	That's how it's going to be for 90 percent of accounts.
217000	221000	I think we should show them right now what an alpha futures account looks like.
221000	223000	Show them the actual rules. You can just pause the recording.
223000	225000	Okay.
225000	227000	No, we'll just do it as we speak right now.
227000	228000	How about that? How about that?
228000	229000	How about a positive recording?
229000	231000	All right. Well, don't log in.
231000	232000	Okay, don't log in.
232000	233000	Just scroll down.
233000	234000	Yeah, scroll down.
234000	235000	So as you guys can see here.
235000	237000	No, they can't see because I'm not showing them.
237000	239000	But I'll show them now.
239000	244000	You guys, I got a bunch of comments on the last video said you guys like this more raw style.
244000	245000	Yeah, so we're keeping it raw.
245000	246000	So we're keeping it raw.
246000	247000	Completely raw.
247000	248000	I could give it to you raw.
248000	249000	What?
249000	251000	What were we saying about alpha?
251000	252000	Okay.
252000	253000	Yeah.
253000	257000	So with alpha accounts, guys, you're going to have a four percent max loss limit.
257000	259000	So on a, for example, let's just do 100k.
259000	260000	Come on, 50k. I like 50k.
260000	261000	I know, but in the middle.
261000	262000	You're trying to make sense.
262000	263000	Whatever.
263000	267000	You have a four percent max loss limit and your target is going to be six percent.
267000	270000	So again, for 100k, you need to make $6,000.
270000	271000	Yo, you're shaking hella.
272000	276000	You make $6,000 and you can't lose more than $4,000.
276000	277000	Okay.
277000	280000	And then with this also, you have a consistency rule.
280000	286000	So what that means is you cannot make more than $3,000 in one day.
286000	287000	Okay.
287000	288000	So let's break this down.
288000	290000	Actually showing you trading view.
290000	291000	Yeah.
291000	294000	So, so go more in depth into this.
294000	297000	Let's break down an alpha account, for example.
297000	303000	You have an alpha futures day account.
305000	306000	So funny.
306000	313000	And so your max drawdown for this account is going to be four percent.
313000	319000	And then on the contrary, your profit target is going to be profit.
319000	323000	Target is going to be six percent.
323000	327000	Assuming you're utilizing a one percent risk per trade rule here.
327000	331000	One percent risk per trade.
331000	336000	Then, you know, simple math would tell you, you can only lose four trades.
336000	340000	If you lose four trades in a row, you blow the account.
340000	341000	Obviously.
